t,I,V
0.0,-6.56658727393733e-10,1.01621390058426e-06
0.08309888,4.4839021384746006e-10,0.0099994903430342
0.16585044,9.71830615981162e-10,0.0199998784810305
0.24997442,1.49527590309617e-09,0.0299998745322227
0.3327405,2.6003261766049904e-09,0.0399994179606438
0.41547052,3.1819302748203902e-09,0.0499980375170708
0.49820662,4.5196193454444305e-09,0.0599972121417522
0.58097184,5.97362959098291e-09,0.0699997171759605
0.6636938,7.54396101143584e-09,0.0799985602498055
0.74645252,9.754056229382971e-09,0.0899976268410683
0.82921022,1.2429434370631e-08,0.0999965742230415
0.91196346,1.53956172255221e-08,0.109995990991592
0.99469984,1.95250002832381e-08,0.119996070861816
1.07746064,2.46431284267601e-08,0.129994258284569
1.16020864,3.07499661289512e-08,0.139993190765381
1.24293454,3.81944715854843e-08,0.149992525577545
1.32570022,4.77328150338963e-08,0.159993663430214
1.4084274,5.96556901655276e-08,0.169998064637184
1.4911583,7.44865928936633e-08,0.179997473955154
1.57392596,9.3039766113634e-08,0.189996436238289
1.65667604,1.15955003821e-07,0.199996113777161
1.73942668,1.44395428947064e-07,0.209998577833176
1.82357052,1.79931390675847e-07,0.219990104436874
1.90630844,2.24075051846739e-07,0.230007767677307
1.98906552,2.78804037634472e-07,0.239995658397675
2.07183218,3.46677239804194e-07,0.249976605176926
2.15457146,4.31940350154036e-07,0.259997099637985
2.2373089,5.37501534836338e-07,0.2699855864048
2.32006174,6.68769416733994e-07,0.280003517866135
2.4028001,8.31502120490768e-07,0.289991408586502
2.48552128,1.03360935099772e-06,0.299972236156464
2.5682792,1.28538613353157e-06,0.309992730617523
2.65102762,1.5968353181961e-06,0.319978177547455
2.7337651,1.98400880435656e-06,0.330002307891846
2.81650964,2.46313402385567e-06,0.3399897813797
2.89923294,3.05933485833521e-06,0.350006878376007
2.98198644,3.79523953597527e-06,0.359990864992142
3.06475616,4.70643863081932e-06,0.369976103305817
3.1475002,5.83707742407569e-06,0.379999309778214
3.23021726,7.2301354521187e-06,0.389984935522079
3.31298286,8.95772791409399e-06,0.400001972913742
3.39572708,1.10826704258216e-05,0.40998637676239
3.47848012,1.37107663249481e-05,0.420006453990936
3.5612183,1.69347131304676e-05,0.429991394281387
3.64397358,2.08960718737217e-05,0.439980208873749
3.72672234,2.57708434219239e-05,0.449995815753937
3.80944986,3.17322192131542e-05,0.459986239671707
3.8922213,3.90234927181154e-05,0.470003008842468
3.9749656,4.78829897474498e-05,0.479987800121307
4.05770452,5.86678979743738e-05,0.49000883102417
4.14045418,7.16783761163242e-05,0.499991029500961
4.22317608,8.7343025370501e-05,0.509978652000427
4.30591612,0.0001061775692505,0.519994497299194
4.38866568,0.0001285365433432,0.529979348182678
4.47139428,0.0001551237364765,0.539995729923248
4.55414512,0.0001863295183284,0.549981892108917
4.6369152,0.0002227354998467,0.559968948364258
4.71965686,0.0002650652022566,0.56998747587204
4.80238858,0.0003134743601549,0.579968512058258
4.8851605,0.0003687950083985,0.589983820915222
4.96788972,0.0004310417571105,0.599974095821381
5.0506295,0.0005008070147596,0.609991252422333
5.13338036,0.000577843748033,0.619974911212921
5.2161354,0.0006623872905038,0.629955232143402
5.29887234,0.0007547335117124,0.639969170093536
5.38162156,0.0008543101721443,0.649953067302704
5.46436192,0.0009613388683646,0.659970700740814
5.85338898,0.0011164091993123,0.669982433319092
5.93618832,0.0012332532787695,0.679999470710754
6.01892982,0.001357601955533,0.689980328083038
6.10168128,0.0014883710537105,0.699966490268707
6.18442514,0.0016254312358796,0.709986805915833
6.26715782,0.0017674042610451,0.719972133636475
6.34991176,0.0019149786094203,0.729993641376495
6.4326802,0.0020666799973696,0.739974915981293
6.51543294,0.002223594347015,0.749995470046997
6.59816958,0.0023839795030653,0.759983003139496
6.68093016,0.0025484408251941,0.76996910572052
6.76365634,0.0027168665546923,0.779987335205078
6.8463788,0.0028884068597108,0.789968132972717
6.92915722,0.0030639490578323,0.799987316131592
7.01190654,0.0032419683411717,0.809970319271088
7.09463932,0.0034231885802,0.819962799549103
7.17739654,0.0036078132688999,0.829976379871368
7.26013176,0.0037945823278278,0.839958846569061
7.34286294,0.0039844247512519,0.849978923797607
7.42560958,0.0041765253990888,0.859962046146393
7.50834032,0.0043716267682611,0.869984447956085
7.59108822,0.0045688231475651,0.879973769187927
7.67385328,0.004767898004502,0.889955043792725
7.75658194,0.0049704858101904,0.899975717067719
7.83932382,0.005174396559596,0.909955501556396
7.9220741,0.0053809387609362,0.91997230052948
8.00480118,0.0055894912220537,0.929962575435638
8.08752852,0.0058004255406558,0.939980089664459
8.17027698,0.0060130250640213,0.949965000152588
8.2530164,0.0062278942205011,0.959947347640991
8.33573594,0.0064452677033841,0.969963192939758
8.41850052,0.0066636917181313,0.97995138168335
8.50125658,0.0068852258846163,0.989969313144684
8.58399518,0.0071078478358686,0.999962031841278
8.66670986,0.0069428565911948,0.989970147609711
8.7494575,0.0067716962657868,0.979951441287994
8.83220332,0.0065986039116978,0.969963073730469
8.91493544,0.00642307754606,0.959947228431702
8.99767696,0.006247223354876,0.94996440410614
9.08041806,0.0060709514655172,0.939976632595062
9.16318156,0.0058935512788593,0.929961442947388
9.24593236,0.0057167946361005,0.919972717761993
9.3286722,0.0055400063283741,0.909954071044922
9.41140622,0.0053640063852071,0.899974584579468
9.49416514,0.0051875049248337,0.889954447746277
9.57690878,0.0050129480659961,0.879970729351044
9.65964348,0.0048392154276371,0.869982302188873
9.74239248,0.0046655111946165,0.859961450099945
9.8251315,0.0044936332851648,0.849977374076843
9.90786268,0.004322390537709,0.839958369731903
9.99061924,0.0041528465226292,0.829974770545959
10.07336666,0.0039845644496381,0.819960534572601
10.15610794,0.0038180893752723,0.8099684715271
10.23886234,0.0036533868405968,0.799986481666565
10.32158932,0.0034898442681878,0.78996741771698
10.4043193,0.0033287401311099,0.779986441135406
10.48706002,0.0031691156327724,0.76996785402298
10.56979288,0.0030119505245238,0.759980320930481
10.65254648,0.0028571018483489,0.749993801116943
10.73532068,0.0027041933499276,0.73997300863266
10.81807742,0.0025545675307512,0.729991555213928
10.9008102,0.0024070076178759,0.719970226287842
10.98356706,0.0022627075668424,0.709985077381134
11.06631248,0.0021209388505667,0.699962377548218
11.14905842,0.0019829410593956,0.689978718757629
11.23180354,0.0018485424807295,0.679998517036438
11.31456772,0.0017173563828691,0.669980645179749
11.3972879,0.0015906392363831,0.659993886947632
11.48000748,0.0014676339924335,0.649974226951599
11.56275124,0.0013494639424607,0.639986634254456
11.64549136,0.0012355645885691,0.629970848560333
11.728232,0.0011270004324615,0.619988083839417
11.81098386,0.001023503136821,0.610002934932709
12.04801906,0.0009166469681076,0.599962055683136
12.13078212,0.0008265731739811,0.589972496032715
12.21352574,0.0007405687938444,0.579958379268646
12.29627236,0.0006603287765756,0.56997811794281
12.37901574,0.0005855521885678,0.559960007667542
12.46173902,0.0005167224444448,0.549973964691162
12.5444721,0.0004536876804195,0.539988100528717
12.62721822,0.0003961015318054,0.52997213602066
12.70994834,0.0003442685992922,0.519989788532257
12.7926981,0.0002976202231366,0.509973406791687
12.87543926,0.0002561487781349,0.499986976385117
12.95819274,0.0002194590488215,0.49000471830368
13.04096034,0.0001870513515314,0.479984819889069
13.12369978,0.0001588449522387,0.470000088214874
13.20642422,0.000134316025651,0.459984600543976
13.28918162,0.0001131572789745,0.449993342161179
13.37193842,9.49748646235093e-05,0.439977735280991
13.45468798,7.94710722402669e-05,0.429989606142044
13.53744596,6.62940583424643e-05,0.420005857944489
13.62018772,5.51141311007086e-05,0.409985601902008
13.70291664,4.57143723906484e-05,0.400001585483551
13.78572118,3.78013610315975e-05,0.389983415603638
