V1,I1,absI
1,0.0077958,0.0077958
0.99,0.0076958,0.0076958
0.98,0.007568,0.007568
0.97,0.0074182,0.0074182
0.96,0.0072546,0.0072546
0.95,0.0070812,0.0070812
0.94,0.0069006,0.0069006
0.93,0.006712,0.006712
0.92,0.0065196,0.0065196
0.91,0.0063298,0.0063298
0.9,0.0061368,0.0061368
0.89,0.0059426,0.0059426
0.88,0.0057474,0.0057474
0.87,0.005552,0.005552
0.86,0.0053568,0.0053568
0.85,0.0051616,0.0051616
0.84,0.0049674,0.0049674
0.83,0.0047736,0.0047736
0.82,0.004581,0.004581
0.81,0.0043902,0.0043902
0.8,0.0042014,0.0042014
0.79,0.0040136,0.0040136
0.78,0.0038272,0.0038272
0.77,0.0036432,0.0036432
0.76,0.003461,0.003461
0.75,0.0032816,0.0032816
0.74,0.0031044,0.0031044
0.73,0.00293,0.00293
0.72,0.0027586,0.0027586
0.71,0.00259,0.00259
0.7,0.0024256,0.0024256
0.69,0.0022664,0.0022664
0.68,0.002109,0.002109
0.67,0.001957,0.001957
0.66,0.0018094,0.0018094
0.65,0.0016652,0.0016652
0.64,0.0015286,0.0015286
0.63,0.0013972,0.0013972
0.62,0.0012696,0.0012696
0.61,0.0011506,0.0011506
0.6,0.001038,0.001038
0.59,0.00092212,0.00092212
0.58,0.00082536,0.00082536
0.57,0.00073308,0.00073308
0.56,0.00064872,0.00064872
0.55,0.0005709,0.0005709
0.54,0.0004989,0.0004989
0.53,0.00043444,0.00043444
0.52,0.00037642,0.00037642
0.51,0.0003237,0.0003237
0.5,0.00027748,0.00027748
0.49,0.000237,0.000237
0.48,0.0002009,0.0002009
0.47,0.00017018,0.00017018
0.46,0.00014364,0.00014364
0.45,0.00012032,0.00012032
0.44,0.00010082,0.00010082
0.43,8.1854E-05,8.1854E-05
0.42,6.8594E-05,6.8594E-05
0.41,5.7168E-05,5.7168E-05
0.4,4.726E-05,4.726E-05
0.39,3.916E-05,3.916E-05
0.38,3.236E-05,3.236E-05
0.37,2.658E-05,2.658E-05
0.36,2.188E-05,2.188E-05
0.35,1.7946E-05,1.7946E-05
0.34,1.4566E-05,1.4566E-05
0.33,1.1942E-05,1.1942E-05
0.32,9.3778E-06,9.3778E-06
0.31,7.6649E-06,7.6649E-06
0.3,6.2425E-06,6.2425E-06
0.29,5.0515E-06,5.0515E-06
0.28,4.1047E-06,4.1047E-06
0.27,3.3242E-06,3.3242E-06
0.26,2.6796E-06,2.6796E-06
0.25,2.1674E-06,2.1674E-06
0.24,1.7391E-06,1.7391E-06
0.23,1.4041E-06,1.4041E-06
0.22,1.1317E-06,1.1317E-06
0.21,8.6408E-07,8.6408E-07
0.2,6.749E-07,6.749E-07
0.19,5.4822E-07,5.4822E-07
0.18,4.4298E-07,4.4298E-07
0.17,3.5638E-07,3.5638E-07
0.16,2.8676E-07,2.8676E-07
0.15,2.3048E-07,2.3048E-07
0.14,1.8406E-07,1.8406E-07
0.13,1.472E-07,1.472E-07
0.12,1.1778E-07,1.1778E-07
0.11,8.88984E-08,8.88984E-08
0.1,6.9384E-08,6.9384E-08
0.09,5.4368E-08,5.4368E-08
0.08,4.18446E-08,4.18446E-08
0.07,3.2603E-08,3.2603E-08
0.06,2.44746E-08,2.44746E-08
0.05,1.86988E-08,1.86988E-08
0.04,1.31802E-08,1.31802E-08
0.03,9.3906E-09,9.3906E-09
0.02,5.1366E-09,5.1366E-09
0.01,2.5421E-09,2.5421E-09
0,-1.6037E-10,1.6037E-10
-0.01,-2.0151E-09,2.0151E-09
-0.02,-3.5931E-09,3.5931E-09
-0.03,-5.5019E-09,5.5019E-09
-0.04,-7.0137E-09,7.0137E-09
-0.05,-8.9753E-09,8.9753E-09
-0.06,-1.06383E-08,1.06383E-08
-0.07,-1.24872E-08,1.24872E-08
-0.08,-1.54906E-08,1.54906E-08
-0.09,-1.80702E-08,1.80702E-08
-0.1,-2.17854E-08,2.17854E-08
-0.11,-2.52908E-08,2.52908E-08
-0.12,-2.9925E-08,2.9925E-08
-0.13,-3.47224E-08,3.47224E-08
-0.14,-4.07372E-08,4.07372E-08
-0.15,-4.7074E-08,4.7074E-08
-0.16,-5.4741E-08,5.4741E-08
-0.17,-6.34504E-08,6.34504E-08
-0.18,-7.32862E-08,7.32862E-08
-0.19,-8.4883E-08,8.4883E-08
-0.2,-9.7704E-08,9.7704E-08
-0.21,-1.129902E-07,1.129902E-07
-0.22,-1.2678E-07,1.2678E-07
-0.23,-1.4818E-07,1.4818E-07
