V1,I1,absI
1,0.0076262,0.0076262
0.99,0.0075366,0.0075366
0.98,0.007415,0.007415
0.97,0.0072682,0.0072682
0.96,0.0071092,0.0071092
0.95,0.00694,0.00694
0.94,0.006763,0.006763
0.93,0.0065798,0.0065798
0.92,0.0063944,0.0063944
0.91,0.0062068,0.0062068
0.9,0.0060158,0.0060158
0.89,0.0058232,0.0058232
0.88,0.0056304,0.0056304
0.87,0.0054368,0.0054368
0.86,0.0052428,0.0052428
0.85,0.0050492,0.0050492
0.84,0.0048602,0.0048602
0.83,0.0046678,0.0046678
0.82,0.004476,0.004476
0.81,0.0042848,0.0042848
0.8,0.0040968,0.0040968
0.79,0.0039092,0.0039092
0.78,0.0037238,0.0037238
0.77,0.0035404,0.0035404
0.76,0.0033594,0.0033594
0.75,0.0031814,0.0031814
0.74,0.0030054,0.0030054
0.73,0.0028328,0.0028328
0.72,0.0026628,0.0026628
0.71,0.002497,0.002497
0.7,0.0023346,0.0023346
0.69,0.0021768,0.0021768
0.68,0.0020226,0.0020226
0.67,0.0018728,0.0018728
0.66,0.0017272,0.0017272
0.65,0.0015876,0.0015876
0.64,0.0014532,0.0014532
0.63,0.0013236,0.0013236
0.62,0.0012012,0.0012012
0.61,0.001085,0.001085
0.6,0.00096616,0.00096616
0.59,0.00086592,0.00086592
0.58,0.00077064,0.00077064
0.57,0.0006829,0.0006829
0.56,0.0006015,0.0006015
0.55,0.00052652,0.00052652
0.54,0.00045914,0.00045914
0.53,0.0003981,0.0003981
0.52,0.00033962,0.00033962
0.51,0.00029144,0.00029144
0.5,0.00024854,0.00024854
0.49,0.0002111,0.0002111
0.48,0.00017854,0.00017854
0.47,0.00015028,0.00015028
0.46,0.00012612,0.00012612
0.45,0.0001054,0.0001054
0.44,8.5434E-05,8.5434E-05
0.43,7.1402E-05,7.1402E-05
0.42,5.931E-05,5.931E-05
0.41,4.9094E-05,4.9094E-05
0.4,4.0548E-05,4.0548E-05
0.39,3.3506E-05,3.3506E-05
0.38,2.7352E-05,2.7352E-05
0.37,2.2424E-05,2.2424E-05
0.36,1.8336E-05,1.8336E-05
0.35,1.4946E-05,1.4946E-05
0.34,1.2226E-05,1.2226E-05
0.33,9.98E-06,9.98E-06
0.32,7.7959E-06,7.7959E-06
0.31,6.3165E-06,6.3165E-06
0.3,5.0851E-06,5.0851E-06
0.29,4.1032E-06,4.1032E-06
0.28,3.3129E-06,3.3129E-06
0.27,2.6687E-06,2.6687E-06
0.26,2.1298E-06,2.1298E-06
0.25,1.7136E-06,1.7136E-06
0.24,1.374E-06,1.374E-06
0.23,1.1009E-06,1.1009E-06
0.22,8.3898E-07,8.3898E-07
0.21,6.7892E-07,6.7892E-07
0.2,5.4342E-07,5.4342E-07
0.19,4.3718E-07,4.3718E-07
0.18,3.5054E-07,3.5054E-07
0.17,2.808E-07,2.808E-07
0.16,2.2454E-07,2.2454E-07
0.15,1.7864E-07,1.7864E-07
0.14,1.422E-07,1.422E-07
0.13,1.1346E-07,1.1346E-07
0.12,8.45948E-08,8.45948E-08
0.11,6.57472E-08,6.57472E-08
0.1,5.14908E-08,5.14908E-08
0.09,3.96064E-08,3.96064E-08
0.08,3.0789E-08,3.0789E-08
0.07,2.32748E-08,2.32748E-08
0.06,1.78952E-08,1.78952E-08
0.05,1.30016E-08,1.30016E-08
0.04,9.5688E-09,9.5688E-09
0.03,5.7942E-09,5.7942E-09
0.02,3.6266E-09,3.6266E-09
0.01,1.4803E-09,1.4803E-09
0,7.986E-11,7.986E-11
-0.01,-1.1999E-09,1.1999E-09
-0.02,-2.5117E-09,2.5117E-09
-0.03,-3.5429E-09,3.5429E-09
-0.04,-4.6125E-09,4.6125E-09
-0.05,-5.7053E-09,5.7053E-09
-0.06,-6.9301E-09,6.9301E-09
-0.07,-8.0587E-09,8.0587E-09
-0.08,-9.5611E-09,9.5611E-09
-0.09,-1.08764E-08,1.08764E-08
-0.1,-1.23808E-08,1.23808E-08
-0.11,-1.4931E-08,1.4931E-08
-0.12,-1.7292E-08,1.7292E-08
-0.13,-2.04226E-08,2.04226E-08
-0.14,-2.36016E-08,2.36016E-08
-0.15,-2.76826E-08,2.76826E-08
-0.16,-3.1846E-08,3.1846E-08
-0.17,-3.72192E-08,3.72192E-08
-0.18,-4.2613E-08,4.2613E-08
-0.19,-4.95394E-08,4.95394E-08
-0.2,-5.67146E-08,5.67146E-08
-0.21,-6.5398E-08,6.5398E-08
-0.22,-7.48394E-08,7.48394E-08
-0.23,-8.58584E-08,8.58584E-08
-0.24,-9.81564E-08,9.81564E-08
-0.25,-1.127136E-07,1.127136E-07
-0.26,-1.25E-07,1.25E-07
-0.27,-1.4492E-07,1.4492E-07
-0.28,-1.6796E-07,1.6796E-07
-0.29,-1.9394E-07,1.9394E-07
-0.3,-2.2258E-07,2.2258E-07
-0.31,-2.5552E-07,2.5552E-07
-0.32,-2.9302E-07,2.9302E-07
-0.33,-3.3476E-07,3.3476E-07
-0.34,-3.8336E-07,3.8336E-07
-0.35,-4.3812E-07,4.3812E-07
-0.36,-4.982E-07,4.982E-07
-0.37,-5.687E-07,5.687E-07
-0.38,-6.4698E-07,6.4698E-07
-0.39,-7.3144E-07,7.3144E-07
-0.4,-8.3144E-07,8.3144E-07
-0.41,-9.434E-07,9.434E-07
-0.42,-1.06378E-06,1.06378E-06
-0.43,-9.917E-07,9.917E-07
-0.44,-1.1364E-06,1.1364E-06
-0.45,-1.2972E-06,1.2972E-06
-0.46,-1.474E-06,1.474E-06
-0.47,-1.6739E-06,1.6739E-06
-0.48,-1.8916E-06,1.8916E-06
-0.49,-2.142E-06,2.142E-06
-0.5,-2.4187E-06,2.4187E-06
-0.51,-2.72E-06,2.72E-06
-0.52,-3.0664E-06,3.0664E-06
-0.53,-3.4481E-06,3.4481E-06
-0.54,-3.7656E-06,3.7656E-06
-0.55,-4.2304E-06,4.2304E-06
-0.56,-4.7376E-06,4.7376E-06
-0.57,-5.301E-06,5.301E-06
-0.58,-5.925E-06,5.925E-06
-0.59,-6.6197E-06,6.6197E-06
-0.6,-7.3775E-06,7.3775E-06
-0.61,-8.2153E-06,8.2153E-06
-0.62,-9.132E-06,9.132E-06
-0.63,-1.01566E-05,1.01566E-05
-0.64,-1.12808E-05,1.12808E-05
-0.65,-1.0862E-05,1.0862E-05
-0.66,-1.226E-05,1.226E-05
-0.67,-1.3752E-05,1.3752E-05
-0.68,-1.5436E-05,1.5436E-05
-0.69,-1.726E-05,1.726E-05
-0.7,-1.9206E-05,1.9206E-05
-0.71,-2.144E-05,2.144E-05
-0.72,-2.3876E-05,2.3876E-05
-0.73,-2.6436E-05,2.6436E-05
-0.74,-2.9412E-05,2.9412E-05
-0.75,-3.261E-05,3.261E-05
-0.76,-3.5606E-05,3.5606E-05
-0.77,-3.9296E-05,3.9296E-05
-0.78,-4.3322E-05,4.3322E-05
-0.79,-4.771E-05,4.771E-05
-0.8,-5.2514E-05,5.2514E-05
-0.81,-5.7664E-05,5.7664E-05
-0.82,-6.326E-05,6.326E-05
-0.83,-6.9328E-05,6.9328E-05
-0.84,-7.5916E-05,7.5916E-05
-0.85,-8.2886E-05,8.2886E-05
-0.86,-9.0596E-05,9.0596E-05
-0.87,-9.8882E-05,9.8882E-05
-0.88,-0.000107814,0.000107814
-0.89,-0.00010374,0.00010374
-0.9,-0.0001142,0.0001142
-0.91,-0.00012532,0.00012532
-0.92,-0.00013748,0.00013748
-0.93,-0.00015032,0.00015032
-0.94,-0.00016352,0.00016352
-0.95,-0.000178,0.000178
-0.96,-0.0001934,0.0001934
-0.97,-0.00021004,0.00021004
-0.98,-0.00022806,0.00022806
-0.99,-0.00024538,0.00024538
-1,-0.00026526,0.00026526
-1.01,-0.00028636,0.00028636
-1.02,-0.00030878,0.00030878
-1.03,-0.00033262,0.00033262
-1.04,-0.0003575,0.0003575
-1.05,-0.0003839,0.0003839
-1.06,-0.00041192,0.00041192
-1.07,-0.00044152,0.00044152
-1.08,-0.00047232,0.00047232
-1.09,-0.00050488,0.00050488
-1.1,-0.00053906,0.00053906
-1.11,-0.00057506,0.00057506
-1.12,-0.00061262,0.00061262
-1.13,-0.00065202,0.00065202
-1.14,-0.00069314,0.00069314
-1.15,-0.0007364,0.0007364
-1.16,-0.000783,0.000783
-1.17,-0.00082696,0.00082696
-1.18,-0.00087776,0.00087776
-1.19,-0.0009302,0.0009302
-1.2,-0.00098024,0.00098024
-1.21,-0.0010362,0.0010362
-1.22,-0.00109424,0.00109424
-1.23,-0.0010778,0.0010778
-1.24,-0.0011402,0.0011402
-1.25,-0.0012066,0.0012066
-1.26,-0.0012736,0.0012736
-1.27,-0.0013388,0.0013388
-1.28,-0.0014096,0.0014096
-1.29,-0.0014822,0.0014822
-1.3,-0.0015526,0.0015526
-1.31,-0.0016286,0.0016286
-1.32,-0.0017064,0.0017064
-1.33,-0.0017812,0.0017812
-1.34,-0.0018624,0.0018624
-1.35,-0.001945,0.001945
-1.36,-0.0020258,0.0020258
-1.37,-0.0021126,0.0021126
-1.38,-0.0022,0.0022
-1.39,-0.0022838,0.0022838
-1.4,-0.0023752,0.0023752
-1.41,-0.002468,0.002468
