,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_gain,param_probability,param_voltages,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,50.85348811149597,0.5398844315010437,1.3998988628387452,0.18434162191505726,10439.664525557388,0.166347378170539,"[-1.6300607380628072, 0.006566045887405729]","{'gain': 10439.664525557388, 'probability': 0.166347378170539, 'voltages': [-1.6300607380628072, 0.006566045887405729]}",126.47445661868836,186.02566618532146,173.4131776700258,137.7683745080624,164.6744995870528,157.67123491383015,22.226970458791634,93
1,67.41240572929382,8.265541550649212,1.5707165718078613,0.1302873905942295,10439.664525557388,0.15358929569156188,"[-1.6300607380628072, 0.006566045887405729]","{'gain': 10439.664525557388, 'probability': 0.15358929569156188, 'voltages': [-1.6300607380628072, 0.006566045887405729]}",155.58183647025623,182.22150696156822,259.8350175410056,200.94471636287258,173.53941721365535,194.4244989098716,35.81871370826774,31
2,58.29813899993896,0.2698774767384668,1.7911730766296388,0.2319177296165085,10439.664525557388,0.11818621084763224,"[-1.6300607380628072, 0.006566045887405729]","{'gain': 10439.664525557388, 'probability': 0.11818621084763224, 'voltages': [-1.6300607380628072, 0.006566045887405729]}",182.70347607882695,182.21485156307537,248.28308053411365,145.74244660207384,206.8930281733545,193.16737659028888,33.77783100015648,32
3,78.20353469848632,11.385982624140249,1.9038129329681397,0.8258799519726973,10439.664525557388,0.11808279787148424,"[-1.6300607380628072, 0.006566045887405729]","{'gain': 10439.664525557388, 'probability': 0.11808279787148424, 'voltages': [-1.6300607380628072, 0.006566045887405729]}",125.16999689244794,217.42337934500847,168.74667135990344,153.80462944257212,155.76135357956136,164.18120612389868,30.18613651436596,82
4,56.5792582988739,0.31050350924705766,1.7571786880493163,0.09975692126697179,10439.664525557388,0.14917359143315315,"[-1.6300607380628072, 0.006566045887405729]","{'gain': 10439.664525557388, 'probability': 0.14917359143315315, 'voltages': [-1.6300607380628072, 0.006566045887405729]}",149.924789632524,139.4006183469865,160.9594188756662,245.8255916224231,296.2441321538267,198.4709101262853,61.73363097531056,22
5,71.10387659072876,22.251141672264676,1.5202911853790284,0.2293263268131541,10439.664525557388,0.11477325699671968,"[-1.6300607380628072, 0.006566045887405729]","{'gain': 10439.664525557388, 'probability': 0.11477325699671968, 'voltages': [-1.6300607380628072, 0.006566045887405729]}",183.40142348148456,149.3020892050733,192.33493542505653,170.49152662068198,120.11981247846376,163.129957442152,25.91963844236845,87
6,64.73333854675293,0.47686368502904314,1.7113588809967042,0.15194340356166586,10439.664525557388,0.14919969781382952,"[-1.6300607380628072, 0.006566045887405729]","{'gain': 10439.664525557388, 'probability': 0.14919969781382952, 'voltages': [-1.6300607380628072, 0.006566045887405729]}",180.89938243986637,156.6689320502799,237.31828558691734,202.67740693442272,165.5878322277675,188.63036784785078,28.913984859542662,41
7,71.2400894165039,21.604349741668823,1.5953278541564941,0.16932006868474644,10439.664525557388,0.12355436744052561,"[-1.6300607380628072, 0.006566045887405729]","{'gain': 10439.664525557388, 'probability': 0.12355436744052561, 'voltages': [-1.6300607380628072, 0.006566045887405729]}",295.8896633192104,272.839254507404,189.02669961206144,152.0347166609828,139.59367915596897,209.8768026511255,63.376073877651415,12
8,63.60596060752869,8.008476366268832,1.679355001449585,0.2282097588281865,10439.664525557388,0.13453462016786175,"[-1.6300607380628072, 0.006566045887405729]","{'gain': 10439.664525557388, 'probability': 0.13453462016786175, 'voltages': [-1.6300607380628072, 0.006566045887405729]}",202.020836007223,84.9610351083711,119.1566039627095,205.9868838095347,162.55414060816696,154.93589989920105,47.02737814978712,95
9,69.21341943740845,11.737740897968608,1.6209091663360595,0.3547782107845961,10439.664525557388,0.11951686621289385,"[-1.6300607380628072, 0.006566045887405729]","{'gain': 10439.664525557388, 'probability': 0.11951686621289385, 'voltages': [-1.6300607380628072, 0.006566045887405729]}",133.58995921915803,221.97495842965046,257.9631953060779,152.35017822106965,257.0953002024871,204.59471827568865,52.30247788623347,16
10,64.39289178848267,9.629887842624852,1.803737211227417,0.06722551291310992,9787.601472191805,0.166347378170539,"[-1.6300607380628072, 0.006566045887405729]","{'gain': 9787.601472191805, 'probability': 0.166347378170539, 'voltages': [-1.6300607380628072, 0.006566045887405729]}",146.31244180038854,122.40998183875199,178.87961089249396,185.18611272962403,161.35202099827492,158.82803365190668,22.742467464575927,91
11,60.55116515159607,0.23971436577687089,1.6317716598510743,0.20826639342016418,9787.601472191805,0.15358929569156188,"[-1.6300607380628072, 0.006566045887405729]","{'gain': 9787.601472191805, 'probability': 0.15358929569156188, 'voltages': [-1.6300607380628072, 0.006566045887405729]}",113.9036260327727,127.18882260805462,152.1919877292938,246.1894575665142,176.22060859293762,163.1389005059146,46.70092368935919,85
12,69.02646164894104,12.528857142080875,1.9608777999877929,0.22322494206254961,9787.601472191805,0.11818621084763224,"[-1.6300607380628072, 0.006566045887405729]","{'gain': 9787.601472191805, 'probability': 0.11818621084763224, 'voltages': [-1.6300607380628072, 0.006566045887405729]}",188.65405718114278,182.58219732054582,207.7135098357957,221.37606752086563,228.20289336907692,205.70574504548534,17.78297121990485,15
13,63.770836210250856,8.699786283587809,1.6056495189666748,0.26950872854532987,9787.601472191805,0.11808279787148424,"[-1.6300607380628072, 0.006566045887405729]","{'gain': 9787.601472191805, 'probability': 0.11808279787148424, 'voltages': [-1.6300607380628072, 0.006566045887405729]}",206.82921740099314,231.45762145527456,133.29561415063588,212.16382371309123,225.10786042165284,201.77082742832954,35.35075490805244,17
