,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_gain,param_probability,param_voltages,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,47.81353244781494,0.22288347336289532,1.2382613658905028,0.10632176052193522,1000.0,0.01,"[-2.1331527635533685, 0.011873603203071863]","{'gain': 1000.0, 'probability': 0.01, 'voltages': [-2.1331527635533685, 0.011873603203071863]}",2.4212872528908753,2.3469000087977214,2.002423457083177,2.2467370128465185,2.1529695518020255,2.2340634566840634,0.1470909699532277,289
1,47.54348449707031,0.19929730463005074,1.207769012451172,0.16800433580254437,1000.0,0.01,"[-1.6300607380628072, 0.006566045887405729]","{'gain': 1000.0, 'probability': 0.01, 'voltages': [-1.6300607380628072, 0.006566045887405729]}",1.762325831893228,1.2044621895042882,0.7529808841653711,1.5692530942464213,0.8599173038100117,1.2297878607238641,0.3908001655314499,300
2,51.26082601547241,0.5794195401119345,1.2072927474975585,0.22450271293448096,1000.0,0.01,"[-1.3180811362586602, 0.004382346688619062]","{'gain': 1000.0, 'probability': 0.01, 'voltages': [-1.3180811362586602, 0.004382346688619062]}",1.6588372862652208,1.3862207874554546,1.0770118025307973,1.5180435054731685,1.4427712355007625,1.416576923445081,0.19281994657194135,298
3,51.900292015075685,2.578171819224044,1.2127472400665282,0.22751984637684303,1000.0,0.016681005372000592,"[-2.1331527635533685, 0.011873603203071863]","{'gain': 1000.0, 'probability': 0.016681005372000592, 'voltages': [-2.1331527635533685, 0.011873603203071863]}",2.8135360949849164,2.6173006675329606,2.7511674424527963,2.6267029496084024,2.7477916979847996,2.7112997705127753,0.07663655987353539,283
4,52.6437228679657,2.4542380998023554,0.9953339576721192,0.23557124826402362,1000.0,0.016681005372000592,"[-1.6300607380628072, 0.006566045887405729]","{'gain': 1000.0, 'probability': 0.016681005372000592, 'voltages': [-1.6300607380628072, 0.006566045887405729]}",2.1002182865386967,1.9509660171399776,1.702337081960189,2.1928738343077603,1.8998630376931722,1.9692516515279592,0.1694412415674948,295
5,54.76422872543335,0.950964849613453,1.330848217010498,0.19535830975361862,1000.0,0.016681005372000592,"[-1.3180811362586602, 0.004382346688619062]","{'gain': 1000.0, 'probability': 0.016681005372000592, 'voltages': [-1.3180811362586602, 0.004382346688619062]}",0.9825924952997357,1.305073392855066,1.7229725903407644,1.0922899679038471,1.465381984984168,1.313662086276716,0.2642879001839519,299
6,56.58994092941284,2.8854842938403724,1.1972477912902832,0.1280263818466305,1000.0,0.027825594022071243,"[-2.1331527635533685, 0.011873603203071863]","{'gain': 1000.0, 'probability': 0.027825594022071243, 'voltages': [-2.1331527635533685, 0.011873603203071863]}",3.1912769055955947,3.2948350792164565,3.5452673723686963,2.825505554541852,3.459323804921086,3.263241743328737,0.25130725338908527,276
7,60.32757406234741,0.8814511641738307,1.7347549438476562,0.1754065314802531,1000.0,0.027825594022071243,"[-1.6300607380628072, 0.006566045887405729]","{'gain': 1000.0, 'probability': 0.027825594022071243, 'voltages': [-1.6300607380628072, 0.006566045887405729]}",2.1699317443966524,2.4250736301362146,2.5844651081789456,2.397781616179824,2.5103309453270946,2.4175166088437465,0.14016500711423305,287
8,56.200731420516966,3.2166786671622023,1.259291410446167,0.1589895216715679,1000.0,0.027825594022071243,"[-1.3180811362586602, 0.004382346688619062]","{'gain': 1000.0, 'probability': 0.027825594022071243, 'voltages': [-1.3180811362586602, 0.004382346688619062]}",2.066662427988584,2.3384832352035523,2.4134866341834975,2.0422261463308846,2.05826472270583,2.18382463328247,0.15887499665231536,290
9,58.618311643600464,0.7664114153028533,1.6384015560150147,0.1885558348870631,1000.0,0.046415888336127774,"[-2.1331527635533685, 0.011873603203071863]","{'gain': 1000.0, 'probability': 0.046415888336127774, 'voltages': [-2.1331527635533685, 0.011873603203071863]}",3.836525464060067,3.679819893958905,4.208978538011746,3.935661379015707,4.446993981469035,4.0215958513030925,0.2736868382684723,265
10,59.37398986816406,4.081701091048597,1.4266390323638916,0.07337824559949692,1000.0,0.046415888336127774,"[-1.6300607380628072, 0.006566045887405729]","{'gain': 1000.0, 'probability': 0.046415888336127774, 'voltages': [-1.6300607380628072, 0.006566045887405729]}",2.897515949274546,3.0954516125725875,3.215506954741393,3.195875843625083,2.8850028950083613,3.0578706510443943,0.14205904233698002,278
11,61.91492190361023,1.8826128867509002,1.7538387775421143,0.1771754361188467,1000.0,0.046415888336127774,"[-1.3180811362586602, 0.004382346688619062]","{'gain': 1000.0, 'probability': 0.046415888336127774, 'voltages': [-1.3180811362586602, 0.004382346688619062]}",2.5688814943038736,2.656603344915309,3.0215033292403497,2.8896462530389697,2.580393138916801,2.7434055120830605,0.1807158172574202,282
12,61.05834722518921,7.25189375792412,1.472547435760498,0.19678935176183063,1000.0,0.0774263682681127,"[-2.1331527635533685, 0.011873603203071863]","{'gain': 1000.0, 'probability': 0.0774263682681127, 'voltages': [-2.1331527635533685, 0.011873603203071863]}",6.130912047946576,5.564055591188463,6.002550569214365,5.210935887405753,5.576230630779226,5.696936945306876,0.3317102873741505,248
13,65.57697958946228,4.931709681960216,1.6730668067932128,0.30871406735432744,1000.0,0.0774263682681127,"[-1.6300607380628072, 0.006566045887405729]","{'gain': 1000.0, 'probability': 0.0774263682681127, 'voltages': [-1.6300607380628072, 0.006566045887405729]}",3.9669502062007997,3.80413470430411,3.8232356761611506,3.8730243482858575,4.341876064064491,3.961844199803282,0.19820386624665687,266
