,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_gain,param_probability,param_voltages,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0,134.59559408823648,0.6596842931564112,0.26721493403116864,0.018406228308574236,42551.252067346264,0.9456354632652709,"[-0.5970191873997702, 0.0013098539605894905]","{'gain': 42551.252067346264, 'probability': 0.9456354632652709, 'voltages': [-0.5970191873997702, 0.0013098539605894905]}",214.85919249189476,122.56976633551898,127.60850881230242,155.01248921323872,42.367976518666865,32
1,159.5243582725525,17.739892379162725,0.3312014738718669,0.042633728694379106,42551.252067346264,1.0488341321501657,"[-0.5970191873997702, 0.0013098539605894905]","{'gain': 42551.252067346264, 'probability': 1.0488341321501657, 'voltages': [-0.5970191873997702, 0.0013098539605894905]}",101.64581492325402,181.0516789106865,159.9657571964303,147.55441701012361,33.58426052794007,44
2,168.39854534467062,1.407774422599386,0.30364076296488446,0.01680409341234683,42551.252067346264,0.8651417182840926,"[-0.5970191873997702, 0.0013098539605894905]","{'gain': 42551.252067346264, 'probability': 0.8651417182840926, 'voltages': [-0.5970191873997702, 0.0013098539605894905]}",126.72393041658377,151.1604062089017,186.6806168332189,154.85498448623477,24.616234385748847,34
3,145.3259756565094,16.737292807073796,0.2785867055257161,0.006811024516549153,42551.252067346264,0.8227744011042795,"[-0.5970191873997702, 0.0013098539605894905]","{'gain': 42551.252067346264, 'probability': 0.8227744011042795, 'voltages': [-0.5970191873997702, 0.0013098539605894905]}",158.75101667605225,122.40206974285358,126.66145233096621,135.9381795832907,16.22456444558965,58
4,153.37066634496054,26.32150578707225,0.3179202874501546,0.034472071165247524,42551.252067346264,1.0110698135906322,"[-0.5970191873997702, 0.0013098539605894905]","{'gain': 42551.252067346264, 'probability': 1.0110698135906322, 'voltages': [-0.5970191873997702, 0.0013098539605894905]}",135.6670016492659,88.79644661857556,102.92723119789387,109.13022648857844,19.631099394471587,96
5,163.502863407135,17.856207395781666,0.30701327323913574,0.03512682216458422,42551.252067346264,0.8603247153784425,"[-0.5970191873997702, 0.0013098539605894905]","{'gain': 42551.252067346264, 'probability': 0.8603247153784425, 'voltages': [-0.5970191873997702, 0.0013098539605894905]}",222.80991644347304,158.27236128245394,172.0293767194695,184.3705514817988,27.754908904266063,2
6,159.84588615099588,21.332765340699947,0.33001311620076496,0.09229459545830769,42551.252067346264,0.9157009564113837,"[-0.5970191873997702, 0.0013098539605894905]","{'gain': 42551.252067346264, 'probability': 0.9157009564113837, 'voltages': [-0.5970191873997702, 0.0013098539605894905]}",97.60391701137554,137.49489315152903,126.97705711162183,120.69195575817547,16.8809432718454,88
7,139.1002256075541,1.417874265873443,0.27949730555216473,0.017891998309683573,42551.252067346264,0.9815830969555722,"[-0.5970191873997702, 0.0013098539605894905]","{'gain': 42551.252067346264, 'probability': 0.9815830969555722, 'voltages': [-0.5970191873997702, 0.0013098539605894905]}",124.52530798108978,144.62314179054556,149.27933017700357,139.4759266495463,10.741221888895979,53
8,138.45683431625366,0.47763849686618987,0.268915335337321,0.005139002583984881,42551.252067346264,0.8277752989207464,"[-0.5970191873997702, 0.0013098539605894905]","{'gain': 42551.252067346264, 'probability': 0.8277752989207464, 'voltages': [-0.5970191873997702, 0.0013098539605894905]}",170.5135735944144,149.5856941837002,128.22724885833304,149.44217221214922,17.263618080394192,40
9,194.1382979551951,0.9139581275817156,0.3668924967447917,0.01727215045716105,42551.252067346264,0.8634833547946665,"[-0.5970191873997702, 0.0013098539605894905]","{'gain': 42551.252067346264, 'probability': 0.8634833547946665, 'voltages': [-0.5970191873997702, 0.0013098539605894905]}",156.92736526253196,150.97584357592777,83.1185337910162,130.34058087649197,33.479311530194266,70
