Item,Smu1.Time[1][1],Smu1.V[1][1],Smu1.I[1][1],Smu1.R[1][1],
1,0,8.03469447419047E-07,-6.56669385534769E-10,-1223.55246813391,
2,0.08309832,0.00999937206506729,-2.49547937869465E-10,-40069944.6785163,
3,0.16583096,0.0199997760355473,-3.65870000962332E-10,-54663612.712009,
4,0.24997824,0.0299992486834526,-5.40348210620323E-10,-55518364.073073,
5,0.33274374,0.0399982966482639,-1.91386462233822E-10,-208992298.522123,
6,0.41548606,0.0499968715012074,-3.07709413505108E-10,-162480799.438972,
7,0.4982253,0.0599961578845978,-1.69069203082017E-11,-3548615406.64464,
8,0.58099354,0.0699982717633247,4.12510026137625E-11,1696886556.15782,
9,0.6637333,0.0799978971481323,-1.69082525758313E-11,-4731293005.55171,
10,0.74649444,0.089996263384819,2.15733209074642E-10,417164625.56157,
11,0.82925594,0.0999955460429192,1.57573065706629E-10,634597959.965391,
12,0.91200228,0.109995067119598,2.15733653163852E-10,509865130.017781,
13,0.99473284,0.11999548971653,3.90214971446312E-10,307511239.950053,
14,1.07750256,0.129993826150894,6.81015688286379E-10,190882278.318718,
15,1.16025304,0.139992371201515,9.13654485401594E-10,153222441.785509,
16,1.2429929,0.149992138147354,1.08813624777326E-09,137843159.304999,
17,1.3257581,0.159992814064026,1.66974123416708E-09,95818927.3823831,
18,1.4084918,0.169999077916145,2.19318341265762E-09,77512476.5831357,
19,1.49123182,0.179997831583023,2.83294365743814E-09,63537384.9071877,
20,1.57399856,0.189995780587196,3.82166476242674E-09,49715449.2605338,
21,1.65672668,0.199995696544647,4.69407268610667E-09,42606007.6011577,
22,1.73946614,0.209998264908791,6.08992500872318E-09,34482898.3292881,
23,1.82359378,0.219989135861397,8.00920929577842E-09,27467022.9903158,
24,1.9063628,0.230009004473686,1.02193018491903E-08,22507310.9560719,
25,1.98911762,0.239995270967484,1.31273134584831E-08,18282131.5059248,
26,2.07188458,0.249976277351379,1.69659024606972E-08,14734039.5201769,
27,2.15461444,0.259996682405472,2.17932054624725E-08,11930171.6699354,
28,2.23735724,0.269984722137451,2.77255516323294E-08,9737758.35798468,
29,2.32010302,0.280003547668457,3.57516753979326E-08,7831900.03131011,
30,2.40285828,0.289993137121201,4.5929702707781E-08,6313847.46742706,
31,2.48560532,0.299972385168076,5.89576103493528E-08,5087933.23526161,
32,2.56837326,0.309992372989655,7.58822764623801E-08,4085174.92412525,
33,2.6511037,0.319977730512619,9.73434097772952E-08,3287102.13916558,
34,2.73383016,0.330001473426819,1.25667455108669E-07,2625989.94418607,
35,2.81659322,0.339989006519318,1.61552264899001E-07,2104514.02047425,
36,2.89935598,0.35000804066658,2.08080493280249E-07,1682080.02176916,
37,2.98210678,0.359990239143372,2.68218258270281E-07,1342154.11532728,
38,3.0648511,0.369976103305817,3.45571351090257E-07,1070621.45672251,
39,3.1476213,0.37999752163887,4.45374382707087E-07,853209.20195086,
40,3.23036614,0.389984101057053,5.74606644931919E-07,678697.513328025,
41,3.313107,0.400001734495163,7.41293717965164E-07,539599.520137793,
42,3.39584552,0.409988105297089,9.56196345214266E-07,428769.789122356,
43,3.47859392,0.420006513595581,1.23513234484562E-06,340049.805470908,
44,3.56134752,0.429991871118546,1.59380726927338E-06,269789.126582776,
45,3.64410478,0.439980089664459,2.0568211311911E-06,213912.665030657,
46,3.72683844,0.449996024370193,2.65511562247411E-06,169482.647219285,
47,3.80958134,0.459987312555313,3.42585349244473E-06,134269.40573196,
48,3.89234564,0.470005035400391,4.42178998127929E-06,106292.935076128,
49,3.97509452,0.479988902807236,5.70468955629622E-06,84139.3555373186,
50,4.05782946,0.490010410547256,7.36144420443452E-06,66564.439930425,
51,4.14059276,0.499992996454239,9.48586148297181E-06,52709.2871165979,
52,4.2233259,0.509979724884033,1.22146802823409E-05,41751.3772850303,
53,4.30605888,0.51999694108963,1.57226713781711E-05,33073.0655486179,
54,4.38881158,0.529981553554535,2.02058381546522E-05,26229.1298929618,
55,4.47156552,0.539998233318329,2.59373555309139E-05,20819.3249568069,
56,4.55431958,0.549985527992249,3.32598901877645E-05,16535.9995143512,
57,4.63708974,0.559973001480103,4.25188736699056E-05,13169.9867176031,
58,4.71983936,0.569992482662201,5.42490197403822E-05,10506.9637274553,
59,4.80257926,0.579975426197052,6.89994558342732E-05,8405.50724907265,
60,4.88531726,0.589990496635437,8.74905890668742E-05,6743.4738173322,
61,4.9680472,0.599982559680939,0.000110380009573419,5435.60887519097,
62,5.05078708,0.610000193119049,0.000138709903694689,4397.66863699729,
63,5.13354506,0.619985103607178,0.000173253865796141,3578.47774858127,
64,5.21628824,0.629965901374817,0.000214982646866702,2930.31047182809,
65,5.29901994,0.639980912208557,0.000264996866462752,2415.05086739776,
66,5.38178006,0.649965763092041,0.000323964224662632,2006.28869983684,
67,5.46451746,0.659984350204468,0.000393002846976742,1679.33732613272,
68,5.54724262,0.66996818780899,0.000472326792078093,1418.44205970476,
69,5.6300093,0.679983735084534,0.000562593108043075,1208.65990955664,
70,5.71274262,0.689961194992065,0.000663650629576296,1039.64520523783,
71,5.79547906,0.699942290782928,0.000775481399614364,902.590688997828,
72,5.87823506,0.709961652755737,0.000898450089152902,790.207114816049,
73,6.26725568,0.719972729682922,0.00115744327194989,622.037163402419,
74,6.35003624,0.729994118213654,0.00128844752907753,566.568759487083,
75,6.43280116,0.739975035190582,0.00143222266342491,516.662006605217,
76,6.515537,0.749996662139893,0.00158558099064976,473.010629266279,
77,6.59826812,0.759982109069824,0.00174675532616675,435.082176470361,
78,6.68102482,0.769969999790192,0.00191493157763034,402.08747340362,
79,6.76376804,0.779988646507263,0.00209028809331357,373.148873115766,
80,6.84649258,0.789969682693481,0.00227124546654522,347.813432906968,
81,6.92924722,0.799988746643066,0.00245816167443991,325.441875919469,
82,7.01198906,0.809971392154694,0.00264932936988771,305.726951643247,
83,7.09472518,0.819962382316589,0.0028457441367209,288.136368880098,
84,7.17748812,0.829977452754974,0.00304623995907605,272.459643332469,
85,7.26023094,0.839960038661957,0.00325064035132527,258.398330138094,
86,7.34295834,0.849979817867279,0.00345932017080486,245.707184041748,
87,7.42571086,0.859962642192841,0.00367088452912867,234.265784000829,
88,7.50845816,0.869985044002533,0.00388598744757473,223.877471489388,
89,7.59120826,0.879971742630005,0.00410360330715775,214.438793607341,
90,7.67396862,0.889955222606659,0.00432397099211812,205.818962298521,
91,7.75672138,0.899975597858429,0.00454755034297705,197.903383136439,
92,7.83944018,0.909954488277435,0.00477382307872176,190.613366534959,
93,7.92219558,0.919973969459534,0.00500281620770693,183.891218718428,
94,8.0049315,0.929962396621704,0.00523408874869347,177.674174297072,
95,8.08768094,0.939978659152985,0.00546742510050535,171.923463398905,
96,8.17043194,0.949964761734009,0.00570333935320377,166.562903398056,
97,8.25318464,0.959947884082794,0.00594085035845637,161.584255815563,
98,8.3359142,0.969963014125824,0.00618168199434876,156.90923845849,
99,8.41863932,0.979950428009033,0.00642428314313293,152.538486579086,
100,8.50136218,0.989969491958618,0.0066691730171442,148.439617537848,
101,8.58409172,0.999961853027344,0.00691550225019455,144.597140865541,
102,8.66683744,0.989969551563263,0.0067689586430788,146.251381307448,
103,8.74958896,0.979950726032257,0.00660989293828607,148.255158620823,
104,8.83233254,0.969962954521179,0.0064452993683517,150.491528645509,
105,8.915061,0.959946155548096,0.00627691624686122,152.932764719956,
106,8.99781046,0.949964582920074,0.00610640272498131,155.568609818964,
107,9.08057758,0.939976811408997,0.00593432271853089,158.39664541225,
108,9.16331818,0.929961562156677,0.00576035026460886,161.441842845962,
109,9.24604728,0.919971525669098,0.00558664882555604,164.673233345311,
110,9.32879436,0.909953832626343,0.00541166635230184,168.146698888651,
111,9.41151526,0.89997410774231,0.00523725058883429,171.840948313804,
112,9.49427322,0.889953851699829,0.00506273424252868,175.78521981737,
113,9.5770179,0.879970610141754,0.00488939322531223,179.97542222339,
114,9.6597419,0.869983017444611,0.0047166682779789,184.448633266489,
115,9.74248056,0.859960973262787,0.0045436779037118,189.265390612365,
116,9.8252072,0.849977076053619,0.00437303772196174,194.367652440995,
117,9.90794842,0.839958846569061,0.00420307694002986,199.843795046753,
118,9.99071366,0.829974770545959,0.00403485493734479,205.701266448042,
119,10.07343816,0.819959342479706,0.00386746739968657,212.014545370481,
120,10.15618084,0.809968531131744,0.00370190292596817,218.797885122801,
121,10.23893942,0.799985587596893,0.00353837129659951,226.088649420626,
122,10.32167398,0.789966464042664,0.00337605434469879,233.991039061057,
123,10.40438578,0.779987752437592,0.00321642216295004,242.501672020007,
124,10.48713136,0.769967317581177,0.00305850175209343,251.746567434255,
125,10.56988956,0.759979128837585,0.00290336762554944,261.757802267209,
126,10.65264208,0.749992907047272,0.0027505022007972,272.674897998589,
127,10.73541106,0.73997300863266,0.00259975460357964,284.631867797745,
