Item,Smu1.Time[1][1],Smu1.V[1][1],Smu1.I[1][1],Smu1.R[1][1],
1,0,1.12273573904531E-06,-8.8923091112747E-10,-1262.59189260726,
2,0.0830869,0.00999967101961374,6.22960349971891E-10,16051857.9072728,
3,0.16581168,0.020000085234642,4.05447675433379E-09,4932840.03003942,
4,0.24992958,0.0300004463642836,7.31151317268086E-09,4103178.87087708,
5,0.3326916,0.0400002300739288,1.10338325143289E-08,3625234.47967724,
6,0.41542304,0.0499989986419678,1.59775446206822E-08,3129329.30741099,
7,0.49813866,0.0599979870021343,2.17355093923288E-08,2760367.19081033,
8,0.58090868,0.0700015425682068,2.86567001239746E-08,2442763.55146846,
9,0.66363398,0.0799989476799965,3.74390616286746E-08,2136777.58469046,
10,0.74637408,0.0899985060095787,4.84896993668826E-08,1856033.4913325,
11,0.82911492,0.099997453391552,6.24483789124497E-08,1601281.81280325,
12,0.91184586,0.109996683895588,7.98967718651511E-08,1376735.0210499,
13,0.99457164,0.119997650384903,1.0240520964544E-07,1171792.43907975,
14,1.07732914,0.129997655749321,1.30322618474565E-07,997506.474861784,
15,1.16005146,0.139994502067566,1.65626531156704E-07,845242.009778694,
16,1.24277068,0.149994075298309,2.10876038408969E-07,711290.274750958,
17,1.32553334,0.159995034337044,2.67873929260531E-07,597277.363940237,
18,1.40826662,0.169999331235886,3.40575610380256E-07,499152.981172315,
19,1.4910125,0.179999217391014,4.32295877317301E-07,416379.676133012,
20,1.57375974,0.189999729394913,5.48967250324495E-07,346103.942052288,
21,1.656506,0.19999748468399,6.97278437655768E-07,286825.855903958,
22,1.73925294,0.210000514984131,8.85023268892837E-07,237282.478738487,
23,1.82338206,0.21999154984951,1.12354257453262E-06,195801.703323102,
24,1.90611912,0.230009257793427,1.42598059937882E-06,161299.009182609,
25,1.98884736,0.239997282624245,1.80897211521369E-06,132670.526320354,
26,2.07158702,0.249977499246597,2.29334023060801E-06,109001.48870642,
27,2.1543132,0.259998142719269,2.90990783469169E-06,89349.2706606001,
28,2.23705112,0.269987255334854,3.68851306120632E-06,73196.7735655937,
29,2.3197898,0.2800053358078,4.67731206299504E-06,59864.5829135684,
30,2.40252252,0.289992600679398,5.92469632465509E-06,48946.4075099714,
31,2.4852567,0.29997330904007,7.50057506593294E-06,39993.3746950319,
32,2.56799316,0.309992641210556,9.49899640545482E-06,32634.2518702862,
33,2.65074074,0.319977939128876,1.20138302008854E-05,26634.1319777679,
34,2.7334727,0.330003291368485,1.51956010085996E-05,21717.0279202334,
35,2.81622312,0.3399897813797,1.91893541341415E-05,17717.6250437108,
36,2.8989512,0.350007802248001,2.42215737671359E-05,14450.2502443874,
37,2.98167298,0.359990388154984,3.05133489746368E-05,11797.7999876124,
38,3.06441684,0.369976282119751,3.83864498871844E-05,9638.2000212859,
39,3.14716542,0.379998505115509,4.82347059005406E-05,7878.11386056881,
40,3.22992354,0.389983624219894,6.04349370405544E-05,6452.94995439805,
41,3.31271408,0.400001168251038,7.5577620009426E-05,5292.58751732523,
42,3.39548014,0.40998563170433,9.41598482313566E-05,4354.14499285269,
43,3.47820806,0.420005023479462,0.000116988558147568,3590.13761798544,
44,3.56096212,0.429989457130432,0.000144637873745523,2972.86904180407,
45,3.64373318,0.439976394176483,0.000177973153768107,2472.15034886529,
46,3.72650218,0.449991881847382,0.000217929278733209,2064.85280207928,
47,3.80923424,0.45998153090477,0.000265123671852052,1734.96967544058,
48,3.89199008,0.469996482133865,0.000320542050758377,1466.25530416958,
49,3.9747113,0.479980051517487,0.000384550745366141,1248.15790191873,
50,4.05746292,0.489999681711197,0.000458091351902112,1069.65494912007,
51,4.14021868,0.499980539083481,0.000541053537745029,924.086997318732,
