time	V(pre)	V(pre)/Ix(U1:TE)	Ix(U1:TE)
4.290264760013528e+000	-4.000000e+000	7.905993e+000	-5.059453e-001
4.358864760015806e+000	-4.000000e+000	9.087400e+000	-4.401699e-001
4.392664760016928e+000	-4.000000e+000	9.730829e+000	-4.110647e-001
4.461664760019218e+000	-4.000000e+000	1.118440e+001	-3.576410e-001
4.495064760020327e+000	-4.000000e+000	1.196155e+001	-3.344047e-001
4.564364760022627e+000	-4.000000e+000	1.374426e+001	-2.910306e-001
4.597464760023726e+000	-4.000000e+000	1.468385e+001	-2.724081e-001
4.667164760026040e+000	-4.000000e+000	1.686917e+001	-2.371190e-001
4.699864760027126e+000	-4.000000e+000	1.799922e+001	-2.222319e-001
4.769964760029453e+000	-4.000000e+000	2.067147e+001	-1.935034e-001
4.800000999999995e+000	-4.000000e+000	2.192906e+001	-1.824064e-001
4.800001099999989e+000	-3.610000e+000	4.116844e+001	-8.768854e-002
4.800001299999991e+000	-2.830000e+000	1.442433e+002	-1.961963e-002
4.800001699999996e+000	-1.270000e+000	1.340656e+003	-9.472971e-004
4.800001999999992e+000	-1.000000e-001	2.518231e+005	-3.971043e-007
4.800565759999586e+000	-1.000000e-001	2.518231e+005	-3.971042e-007
4.902965760002985e+000	-1.000000e-001	2.518231e+005	-3.971042e-007
5.005365760006384e+000	-1.000000e-001	2.518231e+005	-3.971042e-007
5.107765760009784e+000	-1.000000e-001	2.518231e+005	-3.971042e-007
5.200000000000003e+000	-1.000000e-001	2.518231e+005	-3.971043e-007
5.200000099999997e+000	-4.900000e-001	7.200101e+004	-6.805460e-006
5.200000299999999e+000	-1.270000e+000	1.713560e+003	-7.411469e-004
5.200000700000004e+000	-2.830000e+000	5.212190e+001	-5.429579e-002
5.200001000000000e+000	-4.000000e+000	2.192908e+001	-1.824062e-001
5.208364759999853e+000	-4.000000e+000	2.229205e+001	-1.794361e-001
5.278864760002193e+000	-4.000000e+000	2.558712e+001	-1.563287e-001
5.310764760003252e+000	-4.000000e+000	2.722526e+001	-1.469224e-001
5.381664760005606e+000	-4.000000e+000	3.122702e+001	-1.280942e-001
5.413164760006652e+000	-4.000000e+000	3.317644e+001	-1.205675e-001
5.484664760009025e+000	-4.000000e+000	3.802949e+001	-1.051815e-001
5.515564760010051e+000	-4.000000e+000	4.032342e+001	-9.919792e-002
5.587564760012441e+000	-4.000000e+000	4.616880e+001	-8.663859e-002
5.617964760013450e+000	-4.000000e+000	4.886022e+001	-8.186618e-002
5.690764760015867e+000	-4.000000e+000	5.588694e+001	-7.157308e-002
5.720364760016850e+000	-4.000000e+000	5.899153e+001	-6.780635e-002
5.793964760019293e+000	-4.000000e+000	6.737400e+001	-5.937008e-002
5.822764760020249e+000	-4.000000e+000	7.092349e+001	-5.639880e-002
5.897364760022725e+000	-4.000000e+000	8.086195e+001	-4.946702e-002
5.925164760023648e+000	-4.000000e+000	8.485016e+001	-4.714192e-002
6.000964760026164e+000	-4.000000e+000	9.654197e+001	-4.143276e-002
6.027564760027047e+000	-4.000000e+000	1.009351e+002	-3.962941e-002
6.104864760029614e+000	-4.000000e+000	1.145770e+002	-3.491103e-002
6.129964760030447e+000	-4.000000e+000	1.192890e+002	-3.353200e-002
6.200001000000000e+000	-4.000000e+000	1.331695e+002	-3.003691e-002
6.200001099999994e+000	-3.610000e+000	2.455212e+002	-1.470342e-002
6.200001299999997e+000	-2.830000e+000	8.165639e+002	-3.465742e-003
6.200001700000001e+000	-1.270000e+000	6.674188e+003	-1.902853e-004
6.200001999999998e+000	-1.000000e-001	6.564587e+005	-1.523325e-007
6.230665760000591e+000	-1.000000e-001	6.564587e+005	-1.523325e-007
6.333065760003990e+000	-1.000000e-001	6.564587e+005	-1.523325e-007
6.435465760007389e+000	-1.000000e-001	6.564587e+005	-1.523325e-007
6.537865760010789e+000	-1.000000e-001	6.564587e+005	-1.523325e-007
6.600000000000009e+000	-1.000000e-001	6.564586e+005	-1.523326e-007
6.600000100000003e+000	-4.900000e-001	2.333161e+005	-2.100156e-006
6.600000300000005e+000	-1.270000e+000	8.504538e+003	-1.493320e-004
6.600000699999995e+000	-2.830000e+000	3.138527e+002	-9.016967e-003
6.600000999999992e+000	-4.000000e+000	1.331696e+002	-3.003688e-002
6.638464759998527e+000	-4.000000e+000	1.412468e+002	-2.831923e-002
6.719764760001226e+000	-4.000000e+000	1.593456e+002	-2.510267e-002
6.740864760001927e+000	-4.000000e+000	1.642621e+002	-2.435133e-002
6.824764760004712e+000	-4.000000e+000	1.846414e+002	-2.166361e-002
6.843264760005326e+000	-4.000000e+000	1.893020e+002	-2.113025e-002
6.930164760008211e+000	-4.000000e+000	2.118981e+002	-1.887700e-002
6.945664760008725e+000	-4.000000e+000	2.160372e+002	-1.851533e-002
7.036264760011733e+000	-4.000000e+000	2.407447e+002	-1.661511e-002
7.048064760012125e+000	-4.000000e+000	2.440152e+002	-1.639242e-002
7.142964760015275e+000	-4.000000e+000	2.705751e+002	-1.478332e-002
7.150464760015524e+000	-4.000000e+000	2.726854e+002	-1.466892e-002
7.250464760018843e+000	-4.000000e+000	3.007698e+002	-1.329921e-002
7.252864760018923e+000	-4.000000e+000	3.014400e+002	-1.326964e-002
7.355264760022322e+000	-4.000000e+000	3.296638e+002	-1.213357e-002
7.457664760025722e+000	-4.000000e+000	3.567862e+002	-1.121120e-002
7.560064760029121e+000	-4.000000e+000	3.823249e+002	-1.046231e-002
7.600000999999992e+000	-4.000000e+000	3.917728e+002	-1.021000e-002
7.600001099999986e+000	-3.610000e+000	6.933900e+002	-5.206306e-003
7.600001299999988e+000	-2.830000e+000	2.075183e+003	-1.363735e-003
7.600001699999993e+000	-1.270000e+000	1.383744e+004	-9.177997e-005
7.600001999999989e+000	-1.000000e-001	8.300004e+005	-1.204819e-007
7.660765760001581e+000	-1.000000e-001	8.300005e+005	-1.204819e-007
7.763165760004981e+000	-1.000000e-001	8.300005e+005	-1.204819e-007
7.865565760008380e+000	-1.000000e-001	8.300005e+005	-1.204819e-007
7.967965760011779e+000	-1.000000e-001	8.300005e+005	-1.204819e-007
8.000000000000000e+000	-1.000000e-001	8.300005e+005	-1.204819e-007
8.000000099999994e+000	-4.900000e-001	3.293270e+005	-1.487883e-006
8.000000299999996e+000	-1.270000e+000	1.756016e+004	-7.232279e-005
8.000000700000001e+000	-2.830000e+000	9.055680e+002	-3.125110e-003
8.000000999999998e+000	-4.000000e+000	3.917730e+002	-1.021000e-002
8.068564760001848e+000	-4.000000e+000	4.072537e+002	-9.821888e-003
8.170964760005248e+000	-4.000000e+000	4.285273e+002	-9.334294e-003
8.273364760008647e+000	-4.000000e+000	4.475073e+002	-8.938401e-003
8.375764760012046e+000	-4.000000e+000	4.642007e+002	-8.616962e-003
8.478164760015446e+000	-4.000000e+000	4.786995e+002	-8.355973e-003
8.580564760018845e+000	-4.000000e+000	4.911552e+002	-8.144065e-003
8.682964760022244e+000	-4.000000e+000	5.017557e+002	-7.972008e-003
8.785364760025644e+000	-4.000000e+000	5.107052e+002	-7.832306e-003
8.887764760029043e+000	-4.000000e+000	5.182101e+002	-7.718877e-003
8.990164760032442e+000	-4.000000e+000	5.244679e+002	-7.626778e-003
