time	V(pre)	V(pre)/Ix(U1:TE)	Ix(U1:TE)
Step Information: Voltage=600m  (Run: 1/4)
0.000000000000000e+000	1.000000e+000	1.558241e+002	6.417492e-003
1.018400617501527e-001	1.000000e+000	1.558242e+002	6.417487e-003
2.042400617535520e-001	1.000000e+000	1.558244e+002	6.417481e-003
3.066400617569514e-001	1.000000e+000	1.558245e+002	6.417476e-003
4.090400617603507e-001	1.000000e+000	1.558246e+002	6.417470e-003
5.114400617637500e-001	1.000000e+000	1.558248e+002	6.417464e-003
6.138400617671493e-001	1.000000e+000	1.558249e+002	6.417458e-003
7.162400617705487e-001	1.000000e+000	1.558251e+002	6.417453e-003
8.186400617739480e-001	1.000000e+000	1.558252e+002	6.417448e-003
9.210400617773473e-001	1.000000e+000	1.558253e+002	6.417442e-003
1.000000000000000e+000	1.000000e+000	1.558254e+002	6.417438e-003
1.000000099999994e+000	6.100000e-001	2.359617e+002	2.585165e-003
1.000000299999996e+000	-1.700000e-001	4.826618e+001	-3.522134e-003
1.000000700000001e+000	-1.730000e+000	5.861551e+000	-2.951437e-001
1.000000999999998e+000	-2.900000e+000	2.919781e+000	-9.932252e-001
1.000001080000004e+000	-2.988000e+000	2.166309e+000	-1.379304e+000
1.000001240000003e+000	-3.164000e+000	1.123744e+000	-2.815587e+000
1.000001560000001e+000	-3.516000e+000	3.029032e-001	-1.160767e+001
1.000001999999995e+000	-4.000000e+000	1.153358e-001	-3.468134e+001
1.000002064000000e+000	-4.000000e+000	1.153358e-001	-3.468133e+001
1.000003983999989e+000	-4.000000e+000	1.153360e-001	-3.468129e+001
1.020233008000332e+000	-4.000000e+000	1.168189e-001	-3.424102e+001
1.122633008003731e+000	-4.000000e+000	1.249518e-001	-3.201235e+001
1.225033008007131e+000	-4.000000e+000	1.343017e-001	-2.978369e+001
1.327433008010530e+000	-4.000000e+000	1.451641e-001	-2.755502e+001
1.429833008013929e+000	-4.000000e+000	1.579383e-001	-2.532635e+001
1.532233008017329e+000	-4.000000e+000	1.731775e-001	-2.309769e+001
1.634633008020728e+000	-4.000000e+000	1.916717e-001	-2.086902e+001
1.737033008024127e+000	-4.000000e+000	2.145882e-001	-1.864035e+001
1.839433008027527e+000	-4.000000e+000	2.437287e-001	-1.641169e+001
1.941833008030926e+000	-4.000000e+000	2.820274e-001	-1.418302e+001
2.000000999999998e+000	-4.000000e+000	3.096686e-001	-1.291703e+001
2.000001099999992e+000	-3.610000e+000	5.834261e-001	-6.187588e+000
