Item,Smu1.Time[1][1],Smu1.V[1][1],Smu1.I[1][1],Smu1.R[1][1],
1,0,1.21736502478598E-06,-6.56547261002061E-10,-1854.19252671615,
2,0.08306672,0.0099998265504837,1.10723249235889E-07,90313.7021311549,
3,0.1657816,0.0200001299381256,2.32048634529747E-07,86189.3886109541,
4,0.24992742,0.0300013739615679,3.69194111726756E-07,81261.7888764493,
5,0.33268118,0.0400007851421833,5.28789939835406E-07,75645.889092811,
6,0.41539974,0.0499995052814484,7.17466548394441E-07,69688.9707169458,
7,0.4981269,0.0599989369511604,9.44995633744838E-07,63491.2319260101,
8,0.5808718,0.0700008720159531,1.22178755646019E-06,57293.8164624647,
9,0.66360288,0.0800000429153442,1.5609284673701E-06,51251.5753205081,
10,0.74633696,0.0899994820356369,1.97916983779578E-06,45473.3496423279,
11,0.82906466,0.0999982208013535,2.49692629950005E-06,40048.5271917621,
12,0.911807,0.109997868537903,3.13955570163671E-06,35036.125806132,
13,0.994525,0.119997844099998,3.93823256672476E-06,30469.9740472145,
14,1.07726404,0.129996553063393,4.93169363835477E-06,26359.4137422453,
15,1.16000248,0.139995291829109,6.16798024566378E-06,22697.1044415275,
16,1.24271634,0.149994447827339,7.7071126725059E-06,19461.8210737238,
17,1.32546722,0.159994974732399,9.62290050665615E-06,16626.4812383471,
18,1.40817124,0.169999614357948,1.20059594337363E-05,14159.6025953791,
19,1.49089528,0.179999232292175,1.49671541294083E-05,12026.2830686365,
20,1.5736372,0.189998045563698,1.86434990609996E-05,10191.1151411033,
21,1.65634974,0.199997708201408,2.32040219998453E-05,8619.09664638061,
22,1.73909386,0.209999576210976,2.88531864498509E-05,7278.21090318642,
23,1.8232244,0.219990506768227,3.5834720620187E-05,6139.03228379847,
24,1.90594116,0.230008825659752,4.44614379375707E-05,5173.22057785698,
25,1.98865254,0.2399962246418,5.50404656678438E-05,4360.35963231344,
26,2.07139286,0.249977380037308,6.79962104186416E-05,3676.34282114015,
27,2.15411752,0.259996920824051,8.38795822346583E-05,3099.64491831509,
28,2.23683396,0.269985049962997,0.000103131627838593,2617.86859784217,
29,2.31957594,0.280002802610397,0.000126477621961385,2213.85252401318,
30,2.40228722,0.289989709854126,0.000154453111463226,1877.52585303644,
31,2.48500086,0.299969762563705,0.000187804864253849,1597.24171019472,
32,2.5677644,0.309989601373672,0.000227448021178134,1362.90304821291,
33,2.65051202,0.319972544908524,0.000273818703135476,1168.55620614861,
34,2.73325698,0.329996377229691,0.000327970657963306,1006.17652590925,
35,2.8160259,0.33998242020607,0.000390114961192012,871.492903443744,
36,2.89875162,0.349997818470001,0.000461160525446758,758.950081711644,
37,2.98150898,0.359979540109634,0.000541044923011214,665.341314185428,
38,3.06427416,0.369962811470032,0.000630243797786534,587.015394311488,
39,3.14701178,0.379982620477676,0.00072916253702715,521.121973746613,
40,3.22975132,0.389965176582336,0.00083707575686276,465.866050217331,
41,3.31253202,0.399980366230011,0.000954486196860671,419.053064932271,
42,3.70152102,0.409986764192581,0.00109036196954548,376.009779911421,
43,3.78427104,0.420006304979324,0.00122410792391747,343.11215275463,
44,3.86699852,0.429991185665131,0.00136599480174482,314.782446548034,
45,3.94971304,0.439979076385498,0.00151555892080069,290.308130120769,
46,4.03247284,0.44999486207962,0.00167264591436833,269.031752754174,
47,4.11523892,0.459985315799713,0.00183595041744411,250.543430492025,
48,4.19798204,0.470002293586731,0.00200578081421554,234.323855456035,
49,4.28073006,0.479986488819122,0.00218085013329983,220.091459513937,
50,4.36347398,0.490007340908051,0.00236172648146749,207.478446277817,
51,4.44621116,0.499989777803421,0.00254704500548542,196.301901508071,
52,4.52895092,0.509978652000427,0.00273687904700637,186.33583846471,
53,4.61171604,0.519993603229523,0.00293189729563892,177.357373330571,
54,4.69445296,0.529977858066559,0.00313020055182278,169.311150928634,
55,4.77718918,0.539994597434998,0.00333295506425202,162.016765010357,
56,4.85994216,0.549981117248535,0.00353911402635276,155.400790467132,
57,4.94267038,0.559968590736389,0.00374867813661695,149.377612675422,
58,5.02543484,0.569989502429962,0.00396220572292805,143.856614797059,
59,5.10819526,0.579970002174377,0.00417838245630264,138.802517060054,
60,5.19093752,0.589985966682434,0.00439865654334426,134.128673350312,
61,5.27368016,0.599978089332581,0.00462121982127428,129.831107918848,
62,5.35643444,0.609996438026428,0.00484794424846768,125.82579476223,
63,5.43917026,0.619982004165649,0.00507628405466676,122.133040131134,
64,5.52190722,0.629964709281921,0.00530747370794415,118.693891660546,
65,5.60463868,0.639979362487793,0.00554238259792328,115.470080092917,
66,5.6873773,0.649966776371002,0.00577975157648325,112.455832706651,
67,5.7701188,0.659986019134521,0.00602059857919812,109.621329250359,
68,5.85284916,0.669971525669098,0.00626317132264376,106.970014255701,
69,5.93560108,0.679988265037537,0.00650921789929271,104.465432799757,
70,6.01833478,0.689970076084137,0.00675750942900777,102.10419731304,
71,6.1010693,0.699952960014343,0.00700794626027346,99.8798983351551,
72,6.18381636,0.709975004196167,0.00726244365796447,97.7597951369388,
73,6.2665477,0.71995997428894,0.00751827750355005,95.7612929223459,
74,6.34928382,0.729981064796448,0.00777797447517514,93.8523348368291,
75,6.4320367,0.739963114261627,0.00803853198885918,92.0520208524594,
76,6.51477608,0.749984741210938,0.0083030741661787,90.3261522420076,
77,6.597507,0.759967923164368,0.00856927782297134,88.6851773118092,
78,6.68024768,0.769955694675446,0.00883813854306936,87.1174049742889,
79,6.76299072,0.779974400997162,0.00911033805459738,85.6142106168674,
80,6.84573858,0.789954602718353,0.00938365142792463,84.1841375701086,
81,6.9284956,0.799973845481873,0.00966090988367796,82.805227987213,
82,7.01122448,0.809957385063171,0.00993943121284246,81.4893093698005,
83,7.0939443,0.819947361946106,0.0102209001779556,80.2226171540706,
84,7.3293888,0.829994559288025,0.0105150695890188,78.9338151556135,
85,7.41216696,0.839977025985718,0.0107992775738239,77.7808534176133,
