Item,Smu1.Time[1][1],Smu1.V[1][1],Smu1.I[1][1],Smu1.R[1][1],
1,0,1.08714448288083E-06,-3.65846020145E-10,-2971.5902948731,
2,0.08309604,0.00999936554580927,1.47558916196999E-08,677652.411898958,
3,0.16583304,0.0199998375028372,3.06337142319535E-08,652870.146643064,
4,0.25000496,0.0299996081739664,4.82563891068821E-08,621671.217618891,
5,0.33275668,0.039998572319746,6.76819880141011E-08,590978.09466549,
6,0.41549164,0.0499976836144924,9.0539124641964E-08,552221.857812385,
7,0.49823626,0.059996634721756,1.1706026725733E-07,512527.744276095,
8,0.58100294,0.0699987858533859,1.4835056560969E-07,471847.111372348,
9,0.6637226,0.0799976736307144,1.85980482569903E-07,430140.155167338,
10,0.74645514,0.0899968966841698,2.30938624667942E-07,389700.496456895,
11,0.8292033,0.0999960079789162,2.85609587535873E-07,350114.325088462,
12,0.9119572,0.109995551407337,3.52028877159682E-07,312461.728409407,
13,0.9946905,0.119995914399624,4.32872070632584E-07,277208.724102403,
14,1.07745344,0.129993975162506,5.31047191998368E-07,244787.990824939,
15,1.16021288,0.139992833137512,6.50741526442289E-07,215128.169094842,
16,1.2429448,0.149992138147354,7.96608105702035E-07,188288.491007971,
17,1.32570362,0.159993648529053,9.75102921074722E-07,164078.729610115,
18,1.40843794,0.169997319579124,1.19262335829262E-06,142540.659125187,
19,1.49118046,0.179997891187668,1.45777721627383E-06,123474.210721824,
20,1.57392174,0.189996063709259,1.78103346115677E-06,106677.425131507,
21,1.6566488,0.199995934963226,2.17536148738873E-06,91936.8739966517,
22,1.73938944,0.209998458623886,2.65687276623794E-06,79039.7121354209,
23,1.82354794,0.219989225268364,3.24348002322949E-06,67825.0594092833,
24,1.90628548,0.230007857084274,3.96042332795332E-06,58076.5837482172,
25,1.98901906,0.239995434880257,4.83108624393935E-06,49677.3236415171,
26,2.07179414,0.249976396560669,5.89100318393321E-06,42433.5870743442,
27,2.15453594,0.25999727845192,7.18681940270471E-06,36176.96005469,
28,2.2372743,0.269985049962997,8.75901696417714E-06,30823.6701752251,
29,2.3200228,0.280003428459167,1.06775005406234E-05,26223.6866571789,
30,2.40273714,0.289990991353989,1.3002815649088E-05,22302.1689440262,
31,2.48547448,0.299972057342529,1.58252860273933E-05,18955.2376382508,
32,2.56824132,0.309991478919983,1.92650695680641E-05,16090.8569691261,
33,2.65099686,0.319976449012756,2.34206945606275E-05,13662.1246728809,
34,2.73371726,0.330000996589661,2.84741472569294E-05,11589.4953275327,
35,2.81645846,0.339987725019455,3.45655862474814E-05,9836.0178989942,
36,2.8991974,0.350006103515625,4.19411990151275E-05,8345.16207773134,
37,2.98192732,0.359989255666733,5.08027951582335E-05,7086.01277834198,
38,3.06468298,0.369974225759506,6.14552845945582E-05,6020.21824811901,
39,3.14741078,0.379996508359909,7.42754637030885E-05,5116.04356828954,
40,3.2301681,0.389982134103775,8.95530756679364E-05,4354.75980244199,
41,3.3129167,0.399999380111694,0.000107804262370337,3710.42268011248,
42,3.3956599,0.409983038902283,0.000129391482914798,3168.54733918035,
43,3.4783926,0.420002847909927,0.000154972018208355,2710.18505640965,
44,3.56114678,0.429987460374832,0.000184923046617769,2325.22375247043,
45,3.64390476,0.439974427223206,0.000219908790313639,2000.71323477204,
46,3.72663752,0.44998899102211,0.000260620814515278,1726.60419260462,
47,3.80938058,0.459979861974716,0.000307424197671935,1496.23830999009,
48,3.89211556,0.469994753599167,0.000361095007974654,1301.58197488057,
49,3.97484436,0.479978531599045,0.000421835837187245,1137.83251513074,
50,4.05757784,0.489997416734695,0.000490430626086891,999.116675572136,
51,4.14033298,0.499978870153427,0.000566754955798388,882.178206009874,
52,4.22307534,0.509963572025299,0.000651288486551493,783.00719658888,
53,4.30582102,0.519977390766144,0.000744397286325693,698.521341114401,
54,4.38857396,0.529959261417389,0.000845511443912983,626.79135242069,
55,4.47129542,0.539974749088287,0.000955201685428619,565.299200499201,
56,4.86032108,0.549985408782959,0.00109952338971198,500.203464454748,
57,4.94310852,0.559974133968353,0.00122202036436647,458.236335741147,
58,5.02585132,0.569991767406464,0.00135359028354287,421.096231508528,
59,5.10860322,0.579973697662354,0.00149204640183598,388.710228414271,
60,5.1913409,0.589989900588989,0.00163786415942013,360.219067738724,
61,5.27406588,0.599982261657715,0.00178985926322639,335.211976709381,
62,5.35687086,0.610000550746918,0.00194828177336603,313.096677845024,
63,5.43962358,0.619987845420837,0.00211185589432716,293.574882209643,
64,5.52237146,0.629968106746674,0.00228069396689534,276.217728415459,
65,5.60511392,0.639984250068665,0.00245504593476653,260.681171380822,
66,5.68786106,0.649971663951874,0.0026337297167629,246.787534732588,
67,5.77059176,0.65999162197113,0.00281732622534037,234.261696794235,
