V1,I1,absI
1,0.00036868,0.00036868
0.99,0.00037744,0.00037744
0.98,0.00037976,0.00037976
0.97,0.00037688,0.00037688
0.96,0.00037088,0.00037088
0.95,0.0003628,0.0003628
0.94,0.00035226,0.00035226
0.93,0.00034058,0.00034058
0.92,0.00032808,0.00032808
0.91,0.00031512,0.00031512
0.9,0.00030152,0.00030152
0.89,0.00028784,0.00028784
0.88,0.00027386,0.00027386
0.87,0.00025976,0.00025976
0.86,0.000246,0.000246
0.85,0.00023244,0.00023244
0.84,0.00021924,0.00021924
0.83,0.00020626,0.00020626
0.82,0.00019356,0.00019356
0.81,0.00018146,0.00018146
0.8,0.00016982,0.00016982
0.79,0.00015824,0.00015824
0.78,0.00014732,0.00014732
0.77,0.00013694,0.00013694
0.76,0.0001269,0.0001269
0.75,0.00011746,0.00011746
0.74,0.00010862,0.00010862
0.73,9.98E-05,9.98E-05
0.72,8.947E-05,8.947E-05
0.71,8.2368E-05,8.2368E-05
0.7,7.5748E-05,7.5748E-05
0.69,6.938E-05,6.938E-05
0.68,6.3108E-05,6.3108E-05
0.67,5.7574E-05,5.7574E-05
0.66,5.2318E-05,5.2318E-05
0.65,4.7208E-05,4.7208E-05
0.64,4.27E-05,4.27E-05
0.63,3.8538E-05,3.8538E-05
0.62,3.441E-05,3.441E-05
0.61,3.0942E-05,3.0942E-05
0.6,2.7696E-05,2.7696E-05
0.59,2.4534E-05,2.4534E-05
0.58,2.1878E-05,2.1878E-05
0.57,1.9416E-05,1.9416E-05
0.56,1.704E-05,1.704E-05
0.55,1.507E-05,1.507E-05
0.54,1.3288E-05,1.3288E-05
0.53,1.1544E-05,1.1544E-05
0.52,1.013E-05,1.013E-05
0.51,8.3201E-06,8.3201E-06
0.5,7.2715E-06,7.2715E-06
0.49,6.2309E-06,6.2309E-06
0.48,5.1638E-06,5.1638E-06
0.47,4.4549E-06,4.4549E-06
0.46,3.8349E-06,3.8349E-06
0.45,3.2834E-06,3.2834E-06
0.44,2.8028E-06,2.8028E-06
0.43,2.391E-06,2.391E-06
0.42,2.0355E-06,2.0355E-06
0.41,1.7264E-06,1.7264E-06
0.4,1.4622E-06,1.4622E-06
0.39,1.237E-06,1.237E-06
0.38,1.0424E-06,1.0424E-06
0.37,8.0178E-07,8.0178E-07
0.36,6.8744E-07,6.8744E-07
0.35,5.8386E-07,5.8386E-07
0.34,4.9406E-07,4.9406E-07
0.33,4.1636E-07,4.1636E-07
0.32,3.5054E-07,3.5054E-07
0.31,2.9384E-07,2.9384E-07
0.3,2.459E-07,2.459E-07
0.29,2.0216E-07,2.0216E-07
0.28,1.6874E-07,1.6874E-07
0.27,1.3952E-07,1.3952E-07
0.26,1.1642E-07,1.1642E-07
0.25,8.54138E-08,8.54138E-08
0.24,6.8549E-08,6.8549E-08
0.23,5.48504E-08,5.48504E-08
0.22,4.42152E-08,4.42152E-08
0.21,3.51528E-08,3.51528E-08
0.2,2.84596E-08,2.84596E-08
0.19,2.26672E-08,2.26672E-08
0.18,1.8385E-08,1.8385E-08
0.17,1.46422E-08,1.46422E-08
0.16,1.17764E-08,1.17764E-08
0.15,9.4786E-09,9.4786E-09
0.14,5.8105E-09,5.8105E-09
0.13,4.6939E-09,4.6939E-09
0.12,3.1974E-09,3.1974E-09
0.11,2.6531E-09,2.6531E-09
0.1,1.7344E-09,1.7344E-09
0.09,1.5812E-09,1.5812E-09
0.08,1.1723E-09,1.1723E-09
0.07,6.1851E-10,6.1851E-10
0.06,6.4678E-10,6.4678E-10
0.05,3.1856E-10,3.1856E-10
0.04,3.8282E-10,3.8282E-10
0.03,9.415E-11,9.415E-11
0.02,1.4036E-10,1.4036E-10
0.01,6.59E-11,6.59E-11
0,-1.6307E-10,1.6307E-10
-0.01,-2.0774E-10,2.0774E-10
-0.02,-2.4182E-10,2.4182E-10
-0.03,-2.2008E-10,2.2008E-10
-0.04,-2.4249E-10,2.4249E-10
-0.05,-2.7111E-10,2.7111E-10
-0.06,-7.421E-11,7.421E-11
-0.07,-1.043E-10,1.043E-10
-0.08,-1.2885E-10,1.2885E-10
-0.09,-1.2116E-10,1.2116E-10
-0.1,-1.372E-10,1.372E-10
-0.11,-4.5207E-10,4.5207E-10
-0.12,-4.8252E-10,4.8252E-10
-0.13,-6.0094E-10,6.0094E-10
-0.14,-6.6141E-10,6.6141E-10
-0.15,-6.6687E-10,6.6687E-10
-0.16,-6.7266E-10,6.7266E-10
-0.17,-7.435E-10,7.435E-10
-0.18,-6.2946E-10,6.2946E-10
-0.19,-9.8072E-10,9.8072E-10
-0.2,-9.412E-10,9.412E-10
-0.21,-1.3138E-09,1.3138E-09
-0.22,-1.449E-09,1.449E-09
-0.23,-1.7899E-09,1.7899E-09
-0.24,-2.0791E-09,2.0791E-09
-0.25,-2.3963E-09,2.3963E-09
-0.26,-2.9088E-09,2.9088E-09
-0.27,-3.2401E-09,3.2401E-09
-0.28,-3.9187E-09,3.9187E-09
-0.29,-4.3342E-09,4.3342E-09
-0.3,-5.2025E-09,5.2025E-09
-0.31,-5.7598E-09,5.7598E-09
-0.32,-6.7999E-09,6.7999E-09
-0.33,-7.5326E-09,7.5326E-09
-0.34,-8.8081E-09,8.8081E-09
-0.35,-9.728E-09,9.728E-09
-0.36,-1.0731E-08,1.0731E-08
-0.37,-1.32538E-08,1.32538E-08
-0.38,-1.53548E-08,1.53548E-08
-0.39,-1.84682E-08,1.84682E-08
-0.4,-2.13168E-08,2.13168E-08
-0.41,-2.52402E-08,2.52402E-08
-0.42,-2.91588E-08,2.91588E-08
-0.43,-3.40292E-08,3.40292E-08
-0.44,-3.90966E-08,3.90966E-08
-0.45,-4.54898E-08,4.54898E-08
-0.46,-5.1903E-08,5.1903E-08
-0.47,-5.9518E-08,5.9518E-08
-0.48,-6.75776E-08,6.75776E-08
-0.49,-7.68276E-08,7.68276E-08
-0.5,-8.67834E-08,8.67834E-08
-0.51,-9.82024E-08,9.82024E-08
-0.52,-1.102078E-07,1.102078E-07
-0.53,-1.1522E-07,1.1522E-07
-0.54,-1.3342E-07,1.3342E-07
-0.55,-1.5404E-07,1.5404E-07
-0.56,-1.763E-07,1.763E-07
-0.57,-2.0224E-07,2.0224E-07
-0.58,-2.292E-07,2.292E-07
-0.59,-2.594E-07,2.594E-07
-0.6,-2.9044E-07,2.9044E-07
-0.61,-3.2712E-07,3.2712E-07
-0.62,-3.6668E-07,3.6668E-07
-0.63,-4.1108E-07,4.1108E-07
-0.64,-4.6242E-07,4.6242E-07
-0.65,-5.1666E-07,5.1666E-07
-0.66,-5.6668E-07,5.6668E-07
-0.67,-6.3278E-07,6.3278E-07
-0.68,-7.0484E-07,7.0484E-07
-0.69,-7.6988E-07,7.6988E-07
-0.7,-8.494E-07,8.494E-07
-0.71,-9.3518E-07,9.3518E-07
-0.72,-1.00912E-06,1.00912E-06
-0.73,-1.10512E-06,1.10512E-06
-0.74,-6.803E-07,6.803E-07
-0.75,-7.7074E-07,7.7074E-07
-0.76,-8.5654E-07,8.5654E-07
-0.77,-9.6208E-07,9.6208E-07
-0.78,-1.0724E-06,1.0724E-06
-0.79,-7.6094E-07,7.6094E-07
-0.8,-8.551E-07,8.551E-07
-0.81,-9.629E-07,9.629E-07
-0.82,-1.08098E-06,1.08098E-06
-0.83,-8.1856E-07,8.1856E-07
-0.84,-9.245E-07,9.245E-07
-0.85,-1.03692E-06,1.03692E-06
-0.86,-8.3604E-07,8.3604E-07
-0.87,-9.4488E-07,9.4488E-07
-0.88,-1.0599E-06,1.0599E-06
-0.89,-8.7878E-07,8.7878E-07
-0.9,-9.9384E-07,9.9384E-07
-0.91,-1.11506E-06,1.11506E-06
-0.92,-9.4674E-07,9.4674E-07
-0.93,-1.06852E-06,1.06852E-06
-0.94,-9.317E-07,9.317E-07
-0.95,-1.0527E-06,1.0527E-06
-0.96,-9.3458E-07,9.3458E-07
-0.97,-1.05716E-06,1.05716E-06
-0.98,-9.5102E-07,9.5102E-07
-0.99,-1.07696E-06,1.07696E-06
-1,-1.002E-06,1.002E-06
-1.01,-1.1279E-06,1.1279E-06
-1.02,-1.2597E-06,1.2597E-06
-1.03,-1.4064E-06,1.4064E-06
-1.04,-1.5592E-06,1.5592E-06
-1.05,-1.7228E-06,1.7228E-06
-1.06,-1.8972E-06,1.8972E-06
-1.07,-2.0833E-06,2.0833E-06
-1.08,-2.2809E-06,2.2809E-06
-1.09,-2.4885E-06,2.4885E-06
-1.1,-2.6946E-06,2.6946E-06
-1.11,-2.924E-06,2.924E-06
-1.12,-3.1657E-06,3.1657E-06
-1.13,-3.4232E-06,3.4232E-06
-1.14,-3.6917E-06,3.6917E-06
-1.15,-3.9604E-06,3.9604E-06
-1.16,-4.2417E-06,4.2417E-06
-1.17,-4.5371E-06,4.5371E-06
-1.18,-4.8359E-06,4.8359E-06
-1.19,-5.1427E-06,5.1427E-06
-1.2,-5.4596E-06,5.4596E-06
-1.21,-5.7896E-06,5.7896E-06
-1.22,-6.1175E-06,6.1175E-06
-1.23,-6.4681E-06,6.4681E-06
-1.24,-6.7607E-06,6.7607E-06
-1.25,-7.1939E-06,7.1939E-06
-1.26,-7.6244E-06,7.6244E-06
-1.27,-8.0538E-06,8.0538E-06
-1.28,-8.3704E-06,8.3704E-06
-1.29,-8.7459E-06,8.7459E-06
-1.3,-9.1173E-06,9.1173E-06
-1.31,-9.4154E-06,9.4154E-06
-1.32,-9.8169E-06,9.8169E-06
-1.33,-1.01957E-05,1.01957E-05
-1.34,-1.06099E-05,1.06099E-05
-1.35,-1.1017E-05,1.1017E-05
-1.36,-7.7752E-06,7.7752E-06
-1.37,-8.2863E-06,8.2863E-06
-1.38,-8.7307E-06,8.7307E-06
-1.39,-9.2243E-06,9.2243E-06
-1.4,-9.7455E-06,9.7455E-06
-1.41,-1.03256E-05,1.03256E-05
-1.42,-1.08998E-05,1.08998E-05
-1.43,-8.1743E-06,8.1743E-06
-1.44,-8.7034E-06,8.7034E-06
-1.45,-9.3158E-06,9.3158E-06
-1.46,-9.9267E-06,9.9267E-06
-1.47,-1.0522E-05,1.0522E-05
-1.48,-1.10924E-05,1.10924E-05
-1.49,-8.554E-06,8.554E-06
-1.5,-9.2013E-06,9.2013E-06
-1.51,-9.8337E-06,9.8337E-06
-1.52,-1.04177E-05,1.04177E-05
-1.53,-1.10646E-05,1.10646E-05
-1.54,-8.7958E-06,8.7958E-06
-1.55,-9.4736E-06,9.4736E-06
-1.56,-1.00557E-05,1.00557E-05
-1.57,-1.07455E-05,1.07455E-05
-1.58,-8.7481E-06,8.7481E-06
-1.59,-9.421E-06,9.421E-06
-1.6,-1.00963E-05,1.00963E-05
-1.61,-1.06808E-05,1.06808E-05
-1.62,-1.13616E-05,1.13616E-05
-1.63,-9.303E-06,9.303E-06
-1.64,-9.9977E-06,9.9977E-06
-1.65,-1.06187E-05,1.06187E-05
-1.66,-1.1337E-05,1.1337E-05
-1.67,-9.3509E-06,9.3509E-06
-1.68,-1.00333E-05,1.00333E-05
-1.69,-1.06897E-05,1.06897E-05
-1.7,-1.13386E-05,1.13386E-05
-1.7,-1.11185E-05,1.11185E-05
-1.69,-9.8183E-06,9.8183E-06
-1.68,-8.7162E-06,8.7162E-06
-1.67,-7.7721E-06,7.7721E-06
-1.66,-6.9547E-06,6.9547E-06
-1.65,-6.223E-06,6.223E-06
-1.64,-5.5785E-06,5.5785E-06
-1.63,-4.9995E-06,4.9995E-06
-1.62,-4.4921E-06,4.4921E-06
-1.61,-4.0393E-06,4.0393E-06
-1.6,-3.6339E-06,3.6339E-06
-1.59,-3.2774E-06,3.2774E-06
-1.58,-2.9485E-06,2.9485E-06
-1.57,-2.6543E-06,2.6543E-06
-1.56,-2.3903E-06,2.3903E-06
-1.55,-2.1568E-06,2.1568E-06
-1.54,-1.9416E-06,1.9416E-06
-1.53,-1.7543E-06,1.7543E-06
-1.52,-1.5782E-06,1.5782E-06
-1.51,-1.4206E-06,1.4206E-06
-1.5,-1.2786E-06,1.2786E-06
-1.49,-1.152E-06,1.152E-06
-1.48,-1.0359E-06,1.0359E-06
-1.47,-9.5242E-07,9.5242E-07
-1.46,-8.5166E-07,8.5166E-07
-1.45,-7.6418E-07,7.6418E-07
-1.44,-6.8362E-07,6.8362E-07
-1.43,-6.1448E-07,6.1448E-07
-1.42,-5.524E-07,5.524E-07
-1.41,-4.9512E-07,4.9512E-07
-1.4,-4.4424E-07,4.4424E-07
-1.39,-3.9906E-07,3.9906E-07
-1.38,-3.581E-07,3.581E-07
-1.37,-3.2006E-07,3.2006E-07
-1.36,-2.885E-07,2.885E-07
-1.35,-2.588E-07,2.588E-07
-1.34,-2.3164E-07,2.3164E-07
-1.33,-2.0746E-07,2.0746E-07
-1.32,-1.8532E-07,1.8532E-07
-1.31,-1.6664E-07,1.6664E-07
-1.3,-1.486E-07,1.486E-07
-1.29,-1.326E-07,1.326E-07
-1.28,-1.195E-07,1.195E-07
-1.27,-1.066E-07,1.066E-07
-1.26,-9.983E-08,9.983E-08
-1.25,-8.96258E-08,8.96258E-08
-1.24,-8.10418E-08,8.10418E-08
-1.23,-7.30014E-08,7.30014E-08
-1.22,-6.6048E-08,6.6048E-08
-1.21,-5.90616E-08,5.90616E-08
-1.2,-5.36338E-08,5.36338E-08
-1.19,-4.77382E-08,4.77382E-08
-1.18,-4.32652E-08,4.32652E-08
-1.17,-3.86424E-08,3.86424E-08
-1.16,-3.49328E-08,3.49328E-08
-1.15,-3.09662E-08,3.09662E-08
-1.14,-2.80866E-08,2.80866E-08
-1.13,-2.46852E-08,2.46852E-08
-1.12,-2.24768E-08,2.24768E-08
-1.11,-1.9717E-08,1.9717E-08
-1.1,-1.79234E-08,1.79234E-08
-1.09,-1.56888E-08,1.56888E-08
-1.08,-1.42744E-08,1.42744E-08
-1.07,-1.23628E-08,1.23628E-08
-1.06,-1.1373E-08,1.1373E-08
-1.05,-9.7674E-09,9.7674E-09
-1.04,-9.0774E-09,9.0774E-09
-1.03,-8.0836E-09,8.0836E-09
-1.02,-8.28E-09,8.28E-09
-1.01,-7.6093E-09,7.6093E-09
-1,-7.122E-09,7.122E-09
