V1,I1,absI
1,0.00035956,0.00035956
0.99,0.00036774,0.00036774
0.98,0.0003695,0.0003695
0.97,0.00036678,0.00036678
0.96,0.00036066,0.00036066
0.95,0.00035246,0.00035246
0.94,0.00034196,0.00034196
0.93,0.0003304,0.0003304
0.92,0.00031714,0.00031714
0.91,0.00030432,0.00030432
0.9,0.00029058,0.00029058
0.89,0.00027664,0.00027664
0.88,0.00026286,0.00026286
0.87,0.00024904,0.00024904
0.86,0.00023522,0.00023522
0.85,0.00022218,0.00022218
0.84,0.00020926,0.00020926
0.83,0.00019636,0.00019636
0.82,0.00018424,0.00018424
0.81,0.00017254,0.00017254
0.8,0.00016124,0.00016124
0.79,0.00015018,0.00015018
0.78,0.00013972,0.00013972
0.77,0.0001297,0.0001297
0.76,0.00012012,0.00012012
0.75,0.00011106,0.00011106
0.74,0.00010242,0.00010242
0.73,9.229E-05,9.229E-05
0.72,8.5344E-05,8.5344E-05
0.71,7.8494E-05,7.8494E-05
0.7,7.1978E-05,7.1978E-05
0.69,6.5776E-05,6.5776E-05
0.68,5.9928E-05,5.9928E-05
0.67,5.4464E-05,5.4464E-05
0.66,4.9418E-05,4.9418E-05
0.65,4.4728E-05,4.4728E-05
0.64,4.0518E-05,4.0518E-05
0.63,3.634E-05,3.634E-05
0.62,3.2778E-05,3.2778E-05
0.61,2.9456E-05,2.9456E-05
0.6,2.644E-05,2.644E-05
0.59,2.3622E-05,2.3622E-05
0.58,2.1064E-05,2.1064E-05
0.57,1.85E-05,1.85E-05
0.56,1.6456E-05,1.6456E-05
0.55,1.4558E-05,1.4558E-05
0.54,1.2764E-05,1.2764E-05
0.53,1.1232E-05,1.1232E-05
0.52,9.2673E-06,9.2673E-06
0.51,8.07E-06,8.07E-06
0.5,7.0355E-06,7.0355E-06
0.49,6.091E-06,6.091E-06
0.48,5.2945E-06,5.2945E-06
0.47,4.5804E-06,4.5804E-06
0.46,3.9194E-06,3.9194E-06
0.45,3.3741E-06,3.3741E-06
0.44,2.8957E-06,2.8957E-06
0.43,2.4657E-06,2.4657E-06
0.42,2.1097E-06,2.1097E-06
0.41,1.7269E-06,1.7269E-06
0.4,1.4624E-06,1.4624E-06
0.39,1.2368E-06,1.2368E-06
0.38,1.0441E-06,1.0441E-06
0.37,8.084E-07,8.084E-07
0.36,6.9412E-07,6.9412E-07
0.35,5.8952E-07,5.8952E-07
