Time (s)	repeat #	Applied voltage (V)	Current (A)	Absolute current (A)	Resistance (Ohm)
186.09	1	-1	-6.25889E-8	6.25889E-8	1.59773E7
186.407	1	0	3.8009E-10	3.8009E-10	0
186.725	1	0.1	6.19074E-9	6.19074E-9	1.61532E7
187.94	1	0	2.60615E-12	2.60615E-12	0
188.255	1	-1	-6.60497E-8	6.60497E-8	1.51401E7
188.572	1	0	3.47829E-10	3.47829E-10	0
188.889	1	0.1	6.22305E-9	6.22305E-9	1.60693E7
190.105	1	0	-1.95464E-11	1.95464E-11	0
190.42	1	-1	-7.12664E-8	7.12664E-8	1.40319E7
190.738	1	0	3.28279E-10	3.28279E-10	0
191.055	1	0.1	6.25728E-9	6.25728E-9	1.59814E7
192.27	1	0	-2.73084E-11	2.73084E-11	0
192.585	1	-1	-7.3402E-8	7.3402E-8	1.36236E7
192.903	1	0	3.26895E-10	3.26895E-10	0
193.219	1	0.1	6.2751E-9	6.2751E-9	1.5936E7
194.433	1	0	-3.15041E-11	3.15041E-11	0
194.747	1	-1	-7.67478E-8	7.67478E-8	1.30297E7
195.064	1	0	3.17372E-10	3.17372E-10	0
195.381	1	0.1	6.29374E-9	6.29374E-9	1.58888E7
196.596	1	0	-4.04828E-11	4.04828E-11	0
196.911	1	-1	-8.01105E-8	8.01105E-8	1.24828E7
197.224	1	0	3.13219E-10	3.13219E-10	0
197.54	1	0.1	6.3142E-9	6.3142E-9	1.58373E7
198.754	1	0	-4.67344E-11	4.67344E-11	0
199.069	1	-1	-8.18738E-8	8.18738E-8	1.22139E7
199.387	1	0	3.12044E-10	3.12044E-10	0
199.704	1	0.1	6.32675E-9	6.32675E-9	1.58059E7
200.918	1	0	-4.19933E-11	4.19933E-11	0
201.226	1	-1	-8.19164E-8	8.19164E-8	1.22076E7
201.542	1	0	3.10744E-10	3.10744E-10	0
201.859	1	0.1	6.33774E-9	6.33774E-9	1.57785E7
203.073	1	0	-4.49722E-11	4.49722E-11	0
203.387	1	-1	-8.20482E-8	8.20482E-8	1.2188E7
203.702	1	0	3.0164E-10	3.0164E-10	0
204.021	1	0.1	6.34391E-9	6.34391E-9	1.57632E7
205.234	1	0	-4.83707E-11	4.83707E-11	0
205.548	1	-1	-8.42883E-8	8.42883E-8	1.1864E7
205.866	1	0	3.00298E-10	3.00298E-10	0
206.185	1	0.1	6.35482E-9	6.35482E-9	1.57361E7
207.399	1	0	-4.85805E-11	4.85805E-11	0
