V1,I1,absI
1,0.012668,0.012668
0.99,0.012442,0.012442
0.98,0.0122,0.0122
0.97,0.011948,0.011948
0.96,0.011688,0.011688
0.95,0.01143,0.01143
0.94,0.011168,0.011168
0.93,0.010906,0.010906
0.92,0.010644,0.010644
0.91,0.010382,0.010382
0.9,0.010124,0.010124
0.89,0.0098754,0.0098754
0.88,0.009616,0.009616
0.87,0.0093578,0.0093578
0.86,0.0091002,0.0091002
0.85,0.0088448,0.0088448
0.84,0.008591,0.008591
0.83,0.0083376,0.0083376
0.82,0.0080866,0.0080866
0.81,0.0078368,0.0078368
0.8,0.007591,0.007591
0.79,0.0073458,0.0073458
0.78,0.0071024,0.0071024
0.77,0.006861,0.006861
0.76,0.0066218,0.0066218
0.75,0.0063848,0.0063848
0.74,0.0061496,0.0061496
0.73,0.0059168,0.0059168
0.72,0.0056862,0.0056862
0.71,0.0054578,0.0054578
0.7,0.005232,0.005232
0.69,0.0050102,0.0050102
0.68,0.004789,0.004789
0.67,0.0045708,0.0045708
0.66,0.0043552,0.0043552
0.65,0.0041424,0.0041424
0.64,0.0039326,0.0039326
0.63,0.0037258,0.0037258
0.62,0.0035224,0.0035224
0.61,0.003322,0.003322
0.6,0.0031254,0.0031254
0.59,0.0029326,0.0029326
0.58,0.0027434,0.0027434
0.57,0.0025586,0.0025586
0.56,0.0023782,0.0023782
0.55,0.0022028,0.0022028
0.54,0.0020322,0.0020322
0.53,0.0018666,0.0018666
0.52,0.0017078,0.0017078
0.51,0.0015542,0.0015542
0.5,0.0014066,0.0014066
0.49,0.0012672,0.0012672
0.48,0.001135,0.001135
0.47,0.001011,0.001011
0.46,0.00089156,0.00089156
0.45,0.00078442,0.00078442
0.44,0.00068586,0.00068586
0.43,0.00059566,0.00059566
0.42,0.00051338,0.00051338
0.41,0.00044006,0.00044006
0.4,0.00037478,0.00037478
0.39,0.00031676,0.00031676
0.38,0.00026664,0.00026664
0.37,0.00022322,0.00022322
0.36,0.00018546,0.00018546
0.35,0.00015362,0.00015362
0.34,0.0001268,0.0001268
0.33,0.00010408,0.00010408
0.32,8.4368E-05,8.4368E-05
0.31,6.9014E-05,6.9014E-05
0.3,5.6312E-05,5.6312E-05
0.29,4.5814E-05,4.5814E-05
