V1,I1,absI
1,0.012604,0.012604
0.99,0.012382,0.012382
0.98,0.012136,0.012136
0.97,0.011886,0.011886
0.96,0.01163,0.01163
0.95,0.011372,0.011372
0.94,0.01111,0.01111
0.93,0.010844,0.010844
0.92,0.010582,0.010582
0.91,0.010324,0.010324
0.9,0.010064,0.010064
0.89,0.009817,0.009817
0.88,0.0095582,0.0095582
0.87,0.0093004,0.0093004
0.86,0.0090438,0.0090438
0.85,0.0087882,0.0087882
0.84,0.0085342,0.0085342
0.83,0.008282,0.008282
0.82,0.0080312,0.0080312
0.81,0.007783,0.007783
0.8,0.007538,0.007538
0.79,0.0072926,0.0072926
0.78,0.0070486,0.0070486
0.77,0.0068068,0.0068068
0.76,0.006567,0.006567
0.75,0.0063298,0.0063298
0.74,0.0060942,0.0060942
0.73,0.0058614,0.0058614
0.72,0.0056306,0.0056306
0.71,0.0054024,0.0054024
0.7,0.0051768,0.0051768
0.69,0.0049548,0.0049548
0.68,0.0047342,0.0047342
0.67,0.0045158,0.0045158
0.66,0.0043,0.0043
0.65,0.0040878,0.0040878
0.64,0.0038784,0.0038784
0.63,0.0036716,0.0036716
0.62,0.0034688,0.0034688
0.61,0.0032692,0.0032692
0.6,0.0030726,0.0030726
0.59,0.0028806,0.0028806
0.58,0.0026924,0.0026924
0.57,0.002508,0.002508
0.56,0.002329,0.002329
0.55,0.0021542,0.0021542
0.54,0.0019844,0.0019844
0.53,0.0018208,0.0018208
0.52,0.0016628,0.0016628
0.51,0.0015106,0.0015106
0.5,0.0013652,0.0013652
0.49,0.0012274,0.0012274
0.48,0.0010964,0.0010964
0.47,0.00097146,0.00097146
0.46,0.0008587,0.0008587
0.45,0.00075372,0.00075372
0.44,0.00065712,0.00065712
0.43,0.0005679,0.0005679
0.42,0.0004878,0.0004878
0.41,0.0004169,0.0004169
0.4,0.00035402,0.00035402
0.39,0.0002983,0.0002983
0.38,0.00025058,0.00025058
0.37,0.0002091,0.0002091
0.36,0.00017362,0.00017362
0.35,0.0001433,0.0001433
0.34,0.00011794,0.00011794
0.33,9.5788E-05,9.5788E-05
0.32,7.8572E-05,7.8572E-05
0.31,6.3996E-05,6.3996E-05
0.3,5.2052E-05,5.2052E-05
0.29,4.2224E-05,4.2224E-05
0.28,3.4222E-05,3.4222E-05
0.27,2.7648E-05,2.7648E-05
0.26,2.2294E-05,2.2294E-05
0.25,1.7956E-05,1.7956E-05
0.24,1.4442E-05,1.4442E-05
0.23,1.1592E-05,1.1592E-05
0.22,9.1664E-06,9.1664E-06
0.21,7.3515E-06,7.3515E-06
0.2,5.8847E-06,5.8847E-06
0.19,4.7159E-06,4.7159E-06
0.18,3.7666E-06,3.7666E-06
0.17,3.0058E-06,3.0058E-06
0.16,2.3977E-06,2.3977E-06
0.15,1.9112E-06,1.9112E-06
0.14,1.519E-06,1.519E-06
0.13,1.2096E-06,1.2096E-06
0.12,9.433E-07,9.433E-07
0.11,7.5058E-07,7.5058E-07
0.1,5.9518E-07,5.9518E-07
0.09,4.6948E-07,4.6948E-07
0.08,3.679E-07,3.679E-07
0.07,2.8656E-07,2.8656E-07
0.06,2.1974E-07,2.1974E-07
0.05,1.6548E-07,1.6548E-07
0.04,1.215E-07,1.215E-07
0.03,8.19996E-08,8.19996E-08
0.02,5.09868E-08,5.09868E-08
0.01,2.39412E-08,2.39412E-08
0,1.445E-10,1.445E-10
-0.01,-2.05102E-08,2.05102E-08
-0.02,-4.05442E-08,4.05442E-08
-0.03,-6.04014E-08,6.04014E-08
-0.04,-8.07664E-08,8.07664E-08
-0.05,-1.0116E-07,1.0116E-07
-0.06,-1.258E-07,1.258E-07
-0.07,-1.5246E-07,1.5246E-07
-0.08,-1.8294E-07,1.8294E-07
-0.09,-2.1688E-07,2.1688E-07
-0.1,-2.5588E-07,2.5588E-07
-0.11,-3.0154E-07,3.0154E-07
-0.12,-3.5282E-07,3.5282E-07
-0.13,-4.1248E-07,4.1248E-07
-0.14,-4.8202E-07,4.8202E-07
-0.15,-5.6108E-07,5.6108E-07
-0.16,-6.5278E-07,6.5278E-07
-0.17,-7.5926E-07,7.5926E-07
-0.18,-8.8174E-07,8.8174E-07
-0.19,-1.02302E-06,1.02302E-06
-0.2,-1.112E-06,1.112E-06
-0.21,-1.2965E-06,1.2965E-06
-0.22,-1.5078E-06,1.5078E-06
-0.23,-1.7493E-06,1.7493E-06
-0.24,-2.0287E-06,2.0287E-06
-0.25,-2.3495E-06,2.3495E-06
-0.26,-2.7176E-06,2.7176E-06
-0.27,-3.1416E-06,3.1416E-06
-0.28,-3.6288E-06,3.6288E-06
-0.29,-4.1866E-06,4.1866E-06
-0.3,-4.8257E-06,4.8257E-06
-0.31,-5.5575E-06,5.5575E-06
-0.32,-6.3959E-06,6.3959E-06
-0.33,-7.356E-06,7.356E-06
-0.34,-8.4528E-06,8.4528E-06
-0.35,-9.7002E-06,9.7002E-06
-0.36,-1.11269E-05,1.11269E-05
-0.37,-1.2144E-05,1.2144E-05
-0.38,-1.3988E-05,1.3988E-05
-0.39,-1.606E-05,1.606E-05
-0.4,-1.843E-05,1.843E-05
-0.41,-2.1124E-05,2.1124E-05
-0.42,-2.4178E-05,2.4178E-05
-0.43,-2.7644E-05,2.7644E-05
-0.44,-3.1562E-05,3.1562E-05
-0.45,-3.6002E-05,3.6002E-05
-0.46,-4.1022E-05,4.1022E-05
-0.47,-4.6724E-05,4.6724E-05
-0.48,-5.3172E-05,5.3172E-05
-0.49,-6.0322E-05,6.0322E-05
-0.5,-6.8402E-05,6.8402E-05
-0.51,-7.755E-05,7.755E-05
-0.52,-8.7642E-05,8.7642E-05
-0.53,-9.9094E-05,9.9094E-05
-0.54,-0.000111848,0.000111848
-0.55,-0.0001203,0.0001203
-0.56,-0.00013598,0.00013598
-0.57,-0.00015334,0.00015334
-0.58,-0.00017224,0.00017224
-0.59,-0.0001935,0.0001935
-0.6,-0.00021688,0.00021688
-0.61,-0.00024266,0.00024266
-0.62,-0.00027044,0.00027044
