V1,I1,absI
1,0.012726,0.012726
0.99,0.0125,0.0125
0.98,0.012258,0.012258
0.97,0.012006,0.012006
0.96,0.011752,0.011752
0.95,0.01149,0.01149
0.94,0.01123,0.01123
0.93,0.010966,0.010966
0.92,0.010704,0.010704
0.91,0.010446,0.010446
0.9,0.010184,0.010184
0.89,0.009938,0.009938
0.88,0.009679,0.009679
0.87,0.0094202,0.0094202
0.86,0.0091612,0.0091612
0.85,0.0089048,0.0089048
0.84,0.0086496,0.0086496
0.83,0.0083962,0.0083962
0.82,0.008144,0.008144
0.81,0.0078948,0.0078948
0.8,0.0076486,0.0076486
0.79,0.0074022,0.0074022
0.78,0.0071588,0.0071588
0.77,0.0069168,0.0069168
0.76,0.0066768,0.0066768
0.75,0.0064394,0.0064394
0.74,0.0062038,0.0062038
0.73,0.0059704,0.0059704
0.72,0.0057392,0.0057392
0.71,0.0055108,0.0055108
0.7,0.0052844,0.0052844
0.69,0.0050624,0.0050624
0.68,0.004841,0.004841
0.67,0.0046222,0.0046222
0.66,0.0044062,0.0044062
0.65,0.004193,0.004193
0.64,0.0039828,0.0039828
0.63,0.0037756,0.0037756
0.62,0.003572,0.003572
0.61,0.0033718,0.0033718
0.6,0.0031748,0.0031748
0.59,0.0029816,0.0029816
0.58,0.002792,0.002792
0.57,0.0026066,0.0026066
0.56,0.0024254,0.0024254
0.55,0.002249,0.002249
0.54,0.0020778,0.0020778
0.53,0.0019116,0.0019116
0.52,0.0017508,0.0017508
0.51,0.0015964,0.0015964
0.5,0.0014472,0.0014472
0.49,0.0013058,0.0013058
0.48,0.0011722,0.0011722
0.47,0.001046,0.001046
0.46,0.00092508,0.00092508
0.45,0.0008161,0.0008161
0.44,0.000715,0.000715
0.43,0.0006222,0.0006222
0.42,0.00053806,0.00053806
0.41,0.0004623,0.0004623
0.4,0.0003945,0.0003945
0.39,0.00033488,0.00033488
0.38,0.00028254,0.00028254
0.37,0.00023692,0.00023692
0.36,0.00019784,0.00019784
0.35,0.0001642,0.0001642
0.34,0.00013566,0.00013566
0.33,0.00011184,0.00011184
0.32,9.0798E-05,9.0798E-05
0.31,7.457E-05,7.457E-05
0.3,6.079E-05,6.079E-05
0.29,4.9604E-05,4.9604E-05
0.28,4.042E-05,4.042E-05
0.27,3.2724E-05,3.2724E-05
0.26,2.6534E-05,2.6534E-05
0.25,2.1478E-05,2.1478E-05
0.24,1.7314E-05,1.7314E-05
0.23,1.3976E-05,1.3976E-05
0.22,1.1262E-05,1.1262E-05
0.21,8.9147E-06,8.9147E-06
0.2,7.1764E-06,7.1764E-06
0.19,5.7584E-06,5.7584E-06
0.18,4.6245E-06,4.6245E-06
0.17,3.7065E-06,3.7065E-06
0.16,2.9648E-06,2.9648E-06
0.15,2.3744E-06,2.3744E-06
0.14,1.8921E-06,1.8921E-06
0.13,1.4998E-06,1.4998E-06
0.12,1.196E-06,1.196E-06
0.11,9.35E-07,9.35E-07
0.1,7.454E-07,7.454E-07
0.09,5.9052E-07,5.9052E-07
0.08,4.646E-07,4.646E-07
0.07,3.63E-07,3.63E-07
0.06,2.8014E-07,2.8014E-07
0.05,2.1152E-07,2.1152E-07
0.04,1.5514E-07,1.5514E-07
0.03,1.0808E-07,1.0808E-07
0.02,6.64264E-08,6.64264E-08
0.01,3.11932E-08,3.11932E-08
0,1.874E-10,1.874E-10
-0.01,-2.68542E-08,2.68542E-08
