V1,I1,absI
1,0.01265,0.01265
0.99,0.012424,0.012424
0.98,0.012182,0.012182
0.97,0.011928,0.011928
0.96,0.011672,0.011672
0.95,0.011412,0.011412
0.94,0.01115,0.01115
0.93,0.010888,0.010888
0.92,0.010628,0.010628
0.91,0.010368,0.010368
0.9,0.010108,0.010108
0.89,0.009859,0.009859
0.88,0.0096,0.0096
0.87,0.0093414,0.0093414
0.86,0.009084,0.009084
0.85,0.008828,0.008828
0.84,0.008574,0.008574
0.83,0.0083212,0.0083212
0.82,0.0080708,0.0080708
0.81,0.0078212,0.0078212
0.8,0.007575,0.007575
0.79,0.0073294,0.0073294
0.78,0.0070852,0.0070852
0.77,0.0068434,0.0068434
0.76,0.0066042,0.0066042
0.75,0.0063664,0.0063664
0.74,0.0061308,0.0061308
0.73,0.005898,0.005898
0.72,0.0056672,0.0056672
0.71,0.0054388,0.0054388
0.7,0.0052124,0.0052124
0.69,0.0049908,0.0049908
0.68,0.0047696,0.0047696
0.67,0.0045512,0.0045512
0.66,0.0043356,0.0043356
0.65,0.0041226,0.0041226
0.64,0.0039126,0.0039126
0.63,0.0037062,0.0037062
0.62,0.0035026,0.0035026
0.61,0.003302,0.003302
0.6,0.0031056,0.0031056
0.59,0.0029128,0.0029128
0.58,0.0027236,0.0027236
0.57,0.0025396,0.0025396
0.56,0.0023596,0.0023596
0.55,0.0021838,0.0021838
0.54,0.0020138,0.0020138
0.53,0.0018492,0.0018492
0.52,0.00169,0.00169
0.51,0.0015376,0.0015376
0.5,0.0013908,0.0013908
0.49,0.0012512,0.0012512
0.48,0.00112,0.00112
0.47,0.00099328,0.00099328
0.46,0.0008771,0.0008771
0.45,0.00077132,0.00077132
0.44,0.0006735,0.0006735
0.43,0.00058364,0.00058364
0.42,0.0005032,0.0005032
0.41,0.00043058,0.00043058
0.4,0.0003662,0.0003662
0.39,0.00030952,0.00030952
0.38,0.00026006,0.00026006
0.37,0.00021728,0.00021728
0.36,0.00018068,0.00018068
0.35,0.00014934,0.00014934
0.34,0.00012306,0.00012306
0.33,0.00010104,0.00010104
0.32,8.1774E-05,8.1774E-05
0.31,6.6904E-05,6.6904E-05
0.3,5.4492E-05,5.4492E-05
0.29,4.4262E-05,4.4262E-05
0.28,3.5928E-05,3.5928E-05
