V1,I1,absI
1,0.0076656,0.0076656
0.99,0.0075742,0.0075742
0.98,0.007449,0.007449
0.97,0.0073016,0.0073016
0.96,0.0071414,0.0071414
0.95,0.0069712,0.0069712
0.94,0.0067934,0.0067934
0.93,0.0066096,0.0066096
0.92,0.0064232,0.0064232
0.91,0.0062348,0.0062348
0.9,0.0060468,0.0060468
0.89,0.0058542,0.0058542
0.88,0.0056606,0.0056606
0.87,0.0054664,0.0054664
0.86,0.0052722,0.0052722
0.85,0.0050782,0.0050782
0.84,0.0048848,0.0048848
0.83,0.0046928,0.0046928
0.82,0.0045012,0.0045012
0.81,0.0043126,0.0043126
0.8,0.0041252,0.0041252
0.79,0.0039384,0.0039384
0.78,0.0037532,0.0037532
0.77,0.0035692,0.0035692
0.76,0.0033876,0.0033876
0.75,0.0032092,0.0032092
0.74,0.0030332,0.0030332
0.73,0.0028598,0.0028598
0.72,0.0026896,0.0026896
0.71,0.0025218,0.0025218
0.7,0.0023588,0.0023588
0.69,0.002201,0.002201
0.68,0.002046,0.002046
0.67,0.0018954,0.0018954
0.66,0.0017498,0.0017498
0.65,0.0016086,0.0016086
0.64,0.0014732,0.0014732
0.63,0.0013444,0.0013444
0.62,0.0012208,0.0012208
0.61,0.0011028,0.0011028
0.6,0.00098404,0.00098404
0.59,0.00088316,0.00088316
0.58,0.00078764,0.00078764
0.57,0.00069696,0.00069696
0.56,0.00061524,0.00061524
0.55,0.00054006,0.00054006
0.54,0.00047126,0.00047126
0.53,0.00040798,0.00040798
0.52,0.0003526,0.0003526
0.51,0.00030288,0.00030288
0.5,0.0002579,0.0002579
0.49,0.00021976,0.00021976
0.48,0.00018626,0.00018626
0.47,0.00015668,0.00015668
0.46,0.0001319,0.0001319
0.45,0.00011046,0.00011046
0.44,8.945E-05,8.945E-05
0.43,7.4608E-05,7.4608E-05
0.42,6.226E-05,6.226E-05
0.41,5.1716E-05,5.1716E-05
0.4,4.2466E-05,4.2466E-05
0.39,3.5126E-05,3.5126E-05
0.38,2.8948E-05,2.8948E-05
