Item,Smu1.Time[1][1],Smu1.V[1][1],Smu1.I[1][1],Smu1.R[1][1],
1,0,8.1530015449971E-07,-4.24022150724568E-10,-1922.77727261778,
2,0.0830952,0.0099995844066143,-1.91381133163304E-10,-52249583.0248937,
3,0.16583406,0.020000072196126,-1.91382909520144E-10,-104502916.411253,
4,0.249969,0.0300000850111246,-1.33219657527661E-10,-225192629.735559,
5,0.33273964,0.0399989187717438,-4.24021706635358E-10,-94332243.2456065,
6,0.41547518,0.0499972924590111,-4.24022150724568E-10,-117911982.601795,
7,0.49821506,0.0599963739514351,-1.91378912717255E-10,-313495217.940099,
8,0.58098236,0.0699988603591919,-3.65861563267345E-10,-191326084.473219,
9,0.6637281,0.0800000578165054,-7.5061734605697E-11,-1065790155.75312,
10,0.74646752,0.0899972096085548,1.57582391580036E-10,571112093.84613,
11,0.82922816,0.0999961048364639,-1.3322321024134E-10,-750590716.552441,
12,0.91197318,0.109995864331722,4.12589962195398E-11,2665984982.92185,
13,0.9947241,0.11999574303627,1.57574842063468E-10,761515870.585091,
14,1.07748564,0.129993855953217,5.6470161879929E-10,230199191.264263,
15,1.16024034,0.13999442756176,4.48382220241683E-10,312221183.717546,
16,1.24297918,0.149992123246193,9.1366558763184E-10,164165232.089962,
17,1.3257558,0.159992799162865,1.26262822419676E-09,126714100.078546,
18,1.40848736,0.169997379183769,1.84423276650136E-09,92177832.5771025,
19,1.49121456,0.179997131228447,2.48399700808477E-09,72462700.4954526,
20,1.57398516,0.189996138215065,3.58904195252308E-09,52937842.6689883,
21,1.65671882,0.199997305870056,4.40328395967526E-09,45420033.7070257,
22,1.73944748,0.209997907280922,5.79913539411336E-09,36211933.8503613,
23,1.82357738,0.219989418983459,7.427622072953E-09,29617745.3325918,
24,1.90632282,0.230007097125053,9.69586988475157E-09,23722172.4155745,
25,1.98907714,0.239995375275612,1.24875674245573E-08,19218745.1019205,
26,2.07185804,0.249976307153702,1.63843090206228E-08,15257055.2007447,
27,2.15459214,0.259999006986618,2.11534754157583E-08,12291077.5594318,
28,2.23732628,0.269985646009445,2.72021480896001E-08,9925159.03965195,
29,2.32006952,0.280003607273102,3.56353986319391E-08,7857456.85533434,
30,2.40280338,0.289991557598114,4.59879494485449E-08,6305816.22089022,
31,2.48554136,0.299972325563431,5.94229803141388E-08,5048086.17773176,
32,2.56830556,0.309992730617523,7.73945316723257E-08,4005357.01837406,
33,2.6510567,0.319978684186935,9.98444207311877E-08,3204772.80396486,
34,2.73382132,0.33000260591507,1.29913374280477E-07,2540174.2333519,
35,2.81656656,0.339989304542542,1.6806649227874E-07,2022945.20420326,
36,2.89932192,0.350007653236389,2.18200725043971E-07,1604062.74161489,
37,2.98207084,0.359990179538727,2.82933172002231E-07,1272350.55893654,
38,3.06485344,0.369976013898849,3.67090905228906E-07,1007859.3847705,
39,3.1476146,0.379997968673706,4.76606913935029E-07,797298.481334048,
40,3.23033884,0.389984339475632,6.17878299635777E-07,631166.913784668,
41,3.31306996,0.400002062320709,8.01607086486911E-07,499000.157388505,
42,3.39583414,0.409986674785614,1.03971558473859E-06,394325.795249761,
43,3.47856464,0.420007079839706,1.34930303374858E-06,311277.058847825,
44,3.56129198,0.42999142408371,1.74892193172127E-06,245860.84506386,
45,3.6440522,0.439979791641235,2.26771226152778E-06,194019.232115814,
46,3.72678808,0.449995696544647,2.940278591268E-06,153045.258323833,
47,3.80952078,0.45998740196228,3.81006725547195E-06,120729.470405451,
48,3.89227918,0.470003604888916,4.93645802635001E-06,95210.6960861641,
49,3.97504102,0.479989647865295,6.38901201455155E-06,75127.3666056779,
50,4.05777962,0.49001082777977,8.26805717224488E-06,59265.5345229943,
51,4.14054742,0.499992996454239,1.06844436231768E-05,46796.3530987847,
52,4.22328486,0.509980499744415,1.37884590003523E-05,36986.0402624677,
53,4.30603716,0.519997119903564,1.77878537215292E-05,29233.2694008043,
54,4.3888006,0.529981255531311,2.28994376811897E-05,23143.8545745013,
55,4.47154774,0.539999067783356,2.94432356895413E-05,18340.3438900967,
56,4.55429304,0.549986004829407,3.77482356270775E-05,14569.846661519,
57,4.6370529,0.559974312782288,4.82744981127325E-05,11599.795641057,
58,4.71979436,0.569993317127228,6.15683602518402E-05,9257.89341791332,
59,4.8025217,0.579975485801697,7.818870653864E-05,7417.63755249078,
60,4.88527042,0.58999103307724,9.89408872555941E-05,5963.06592190866,
61,4.9680382,0.599982976913452,0.000124497542856261,4819.2354897009,
62,5.05076722,0.610000729560852,0.000155801200889982,3915.2504992025,
63,5.13353394,0.619985997676849,0.000193613435840234,3202.18478116596,
64,5.21628602,0.629966378211975,0.000238814493059181,2637.89006329638,
65,5.29902636,0.639981806278229,0.000292328564682975,2189.25511768676,
66,5.38177488,0.649966895580292,0.000354596268152818,1832.97725880234,
67,5.46450974,0.659984529018402,0.000426391226937994,1547.83796504888,
68,5.54724326,0.669969618320465,0.000507796590682119,1319.36612142374,
69,5.63000932,0.679983496665955,0.000599245133344084,1134.73344851599,
70,5.71273042,0.689962148666382,0.000700004573445767,985.653772617582,
71,5.79546452,0.69994330406189,0.000810415367595851,863.68463882702,
72,5.87821558,0.709961891174316,0.000930275244172663,763.174012875855,
73,6.26725268,0.719973564147949,0.00114257819950581,630.13066804474,
74,6.3500394,0.729994237422943,0.00127281318418682,573.52818661234,
75,6.43279526,0.739976584911346,0.00141221832018346,523.981720344216,
76,6.51551788,0.7499960064888,0.00155956496018916,480.900780431635,
77,6.59826034,0.759982645511627,0.00171303784009069,443.646151722715,
78,6.68100694,0.769970595836639,0.00187264254782349,411.167949127051,
79,6.76371724,0.779989421367645,0.00203814427368343,382.69588244507,
80,6.84645302,0.789969623088837,0.00220861868001521,357.67587688944,
81,6.92920918,0.799988687038422,0.00238398346118629,335.56805240601,
82,7.01196892,0.80997234582901,0.0025632546748966,315.993706657995,
83,7.0946979,0.819962918758392,0.00274654966779053,298.542905804435,
84,7.17744474,0.82997739315033,0.00293436413630843,282.847443124247,
85,7.26019486,0.839959919452667,0.00312504265457392,268.783505474165,
86,7.34293442,0.849979996681213,0.00331963668577373,256.046090924285,
87,7.4256882,0.859963178634644,0.00351651478558779,244.549854349866,
88,7.50841712,0.869985401630402,0.00371713167987764,234.047506667571,
89,7.59116424,0.879972755908966,0.00392021099105477,224.470763924929,
90,7.67393672,0.889955997467041,0.00412562675774097,215.714132597478,
91,7.75665578,0.899976253509521,0.00433446140959859,207.632775670015,
92,7.83939728,0.90995579957962,0.00454505952075124,200.207675042552,
93,7.92216206,0.919973790645599,0.00475860387086868,193.328508867383,
94,8.004923,0.929963648319244,0.00497392844408751,186.96763710477,
95,8.08766534,0.939979493618011,0.00519224582239985,181.035244818889,
96,8.17039832,0.949965953826904,0.00541220232844353,175.52299344657,
