V1,I1
-0.9,-3.014E-05
-0.91,-3.2558E-05
-0.92,-3.5122E-05
-0.93,-3.7936E-05
-0.94,-4.0826E-05
-0.95,-4.3838E-05
-0.96,-4.7062E-05
-0.97,-5.0528E-05
-0.98,-5.4404E-05
-0.99,-5.7948E-05
-1,-6.2228E-05
-1.01,-6.6864E-05
-1.02,-7.0706E-05
-1.03,-7.5708E-05
-1.04,-8.0994E-05
-1.05,-8.6266E-05
-1.06,-9.1124E-05
-1.07,-9.7002E-05
-1.08,-0.000103178
-1.09,-0.000108342
-1.1,-8.9124E-05
-1.11,-9.6174E-05
-1.12,-0.000102858
-1.13,-0.00011034
-1.14,-0.0001
-1.15,-0.0001073
-1.16,-0.00011562
-1.17,-0.00012388
-1.18,-0.00013194
-1.19,-0.00014122
-1.2,-0.00015058
-1.21,-0.00015942
-1.22,-0.00016958
-1.23,-0.0001804
-1.24,-0.00018992
-1.25,-0.00020134
-1.26,-0.00021312
-1.27,-0.00022554
-1.28,-0.00023714
-1.29,-0.00025014
-1.3,-0.00026332
-1.31,-0.00027486
-1.32,-0.00028918
-1.33,-0.00030376
-1.34,-0.00031614
-1.35,-0.00033164
-1.36,-0.00034758
-1.37,-0.00036014
-1.38,-0.00037776
-1.39,-0.00039478
-1.4,-0.00040852
-1.41,-0.00042676
-1.42,-0.0004456
-1.43,-0.00046022
-1.44,-0.00047968
-1.45,-0.0004996
-1.46,-0.00051448
-1.47,-0.00053528
-1.48,-0.00055584
-1.49,-0.00057258
-1.5,-0.00059454
-1.51,-0.00061622
-1.52,-0.000633
-1.53,-0.0006567
-1.54,-0.0006794
-1.55,-0.00069938
-1.56,-0.00072254
-1.57,-0.00074748
-1.58,-0.00077066
-1.59,-0.00079044
-1.6,-0.00081588
-1.61,-0.00084078
-1.62,-0.0008602
-1.63,-0.00088674
-1.64,-0.00091202
-1.65,-0.00093232
-1.66,-0.0009595
-1.67,-0.00098588
-1.68,-0.00100604
-1.69,-0.00103494
-1.7,-0.00106162
-1.71,-0.00108284
-1.72,-0.00111208
-1.73,-0.00113978
-1.74,-0.0010302
-1.75,-0.0010652
-1.76,-0.0010986
-1.77,-0.0011304
-1.78,-0.0011638
-1.79,-0.0011978
-1.8,-0.001225
-1.81,-0.0012588
-1.82,-0.0012916
-1.83,-0.0013192
-1.84,-0.0013528
-1.85,-0.0013866
-1.86,-0.0014122
-1.87,-0.0013766
-1.88,-0.0014082
-1.89,-0.001441
-1.9,-0.0014718
-1.91,-0.0015038
-1.92,-0.0015336
-1.93,-0.0015698
-1.94,-0.0016058
-1.95,-0.0016324
-1.96,-0.0016684
-1.97,-0.0017036
-1.98,-0.0017192
-1.99,-0.0017492
-2,-0.0017788
-2.01,-0.0018108
-2.02,-0.0018464
-2.03,-0.0018816
-2.04,-0.0019038
-2.05,-0.0019318
-2.06,-0.0019592
-2.07,-0.0019888
-2.08,-0.0020166
-2.09,-0.0020442
-2.1,-0.0020718
-2.11,-0.0020996
-2.12,-0.0021266
-2.13,-0.0021546
-2.14,-0.0021806
-2.15,-0.0022072
-2.16,-0.002236
-2.17,-0.002267
-2.18,-0.002292
-2.19,-0.0023184
-2.2,-0.0023444
-2.21,-0.002369
-2.22,-0.0023972
-2.23,-0.0024214
-2.24,-0.0024536
-2.25,-0.0024856
-2.26,-0.0025094
-2.27,-0.0025412
-2.28,-0.002574
-2.29,-0.0025882
-2.3,-0.0026192
-2.31,-0.0026506
-2.32,-0.002665
-2.33,-0.0026956
-2.34,-0.0027252
-2.35,-0.0027368
-2.36,-0.0027668
-2.37,-0.0027964
-2.38,-0.0028102
-2.39,-0.002839
-2.4,-0.0028664
-2.41,-0.0028758
-2.42,-0.0029034
-2.43,-0.00293
-2.44,-0.0029426
-2.45,-0.0029706
-2.46,-0.0029966
-2.47,-0.0030054
-2.48,-0.0030334
-2.49,-0.0030594
-2.5,-0.0030634
-2.51,-0.0030886
-2.52,-0.003115
-2.53,-0.003123
-2.54,-0.0031472
-2.55,-0.0031732
-2.56,-0.0031816
-2.57,-0.0031524
-2.58,-0.003169
-2.59,-0.0031862
-2.6,-0.003202
-2.61,-0.0032182
-2.62,-0.0032358
-2.63,-0.0032518
-2.64,-0.0032668
-2.65,-0.0032828
-2.66,-0.0032978
-2.67,-0.003313
-2.68,-0.003328
-2.69,-0.0033436
-2.7,-0.0033584
-2.71,-0.0033718
-2.72,-0.003386
-2.73,-0.003401
-2.74,-0.0034152
-2.75,-0.00343
-2.76,-0.0034434
-2.77,-0.0034578
-2.78,-0.0034722
-2.79,-0.003487
-2.8,-0.0035036
-2.81,-0.0035264
-2.82,-0.0035482
-2.83,-0.0035496
-2.84,-0.0035734
-2.85,-0.0035932
-2.86,-0.003596
-2.87,-0.0036192
-2.88,-0.0036386
-2.89,-0.003658
-2.9,-0.003658
-2.91,-0.003678
-2.92,-0.0036964
-2.93,-0.0036966
-2.94,-0.003716
-2.95,-0.0037328
-2.96,-0.0037322
-2.97,-0.0037496
-2.98,-0.003767
-2.99,-0.0037654
-3,-0.0037822
-3,-0.0037538
-2.99,-0.0036262
-2.98,-0.0034982
-2.97,-0.003388
-2.96,-0.0032842
-2.95,-0.0031784
-2.94,-0.0030854
-2.93,-0.0029948
-2.92,-0.0029034
-2.91,-0.002821
-2.9,-0.0027396
-2.89,-0.0026584
-2.88,-0.0025838
-2.87,-0.002511
-2.86,-0.0024354
-2.85,-0.0023668
-2.84,-0.0022992
-2.83,-0.0022308
-2.82,-0.0021668
-2.81,-0.0021038
-2.8,-0.0020404
-2.79,-0.0019796
-2.78,-0.0019206
-2.77,-0.001857
-2.76,-0.0017988
-2.75,-0.0017428
-2.74,-0.0016884
-2.73,-0.001635
-2.72,-0.0015816
-2.71,-0.0015308
-2.7,-0.0014806
-2.69,-0.0014312
-2.68,-0.0013824
-2.67,-0.0013358
-2.66,-0.0012898
-2.65,-0.0012438
-2.64,-0.0012006
-2.63,-0.001158
-2.62,-0.001116
-2.61,-0.0010746
-2.6,-0.0010342
-2.59,-0.00099642
-2.58,-0.0009576
-2.57,-0.00092024
-2.56,-0.00088402
-2.55,-0.0008495
-2.54,-0.00081436
-2.53,-0.00078126
-2.52,-0.00074912
-2.51,-0.00071732
-2.5,-0.0006868
-2.49,-0.00065784
-2.48,-0.00062942
-2.47,-0.00060112
-2.46,-0.00057478
-2.45,-0.00054886
-2.44,-0.00052378
-2.43,-0.00049942
-2.42,-0.00047612
-2.41,-0.00045358
-2.4,-0.00043188
-2.39,-0.00041152
-2.38,-0.00039172
-2.37,-0.00037222
-2.36,-0.00035334
-2.35,-0.0003358
-2.34,-0.00031886
-2.33,-0.00030212
-2.32,-0.00028656
-2.31,-0.00027174
-2.3,-0.00025698
-2.29,-0.00024366
-2.28,-0.00023042
-2.27,-0.0002176
-2.26,-0.00020594
-2.25,-0.00019452
-2.24,-0.00018352
-2.23,-0.00017346
-2.22,-0.00016368
-2.21,-0.00015408
-2.2,-0.00014536
-2.19,-0.000137
-2.18,-0.00012886
-2.17,-0.00012128
-2.16,-0.00011426
-2.15,-0.00010732
-2.14,-0.00010092
-2.13,-9.5566E-05
-2.12,-8.9518E-05
-2.11,-8.4252E-05
-2.1,-7.9108E-05
-2.09,-7.4156E-05
-2.08,-6.9558E-05
-2.07,-6.5266E-05
-2.06,-6.1108E-05
-2.05,-5.7326E-05
-2.04,-5.373E-05
-2.03,-5.0298E-05
-2.02,-4.7136E-05
-2.01,-4.4138E-05
-2,-4.1274E-05
-1.99,-3.8602E-05
-1.98,-3.6188E-05
-1.97,-3.381E-05
-1.96,-3.1638E-05
-1.95,-2.9584E-05
-1.94,-2.7596E-05
-1.93,-2.5818E-05
-1.92,-2.4116E-05
-1.91,-2.2506E-05
-1.9,-2.1022E-05
-1.89,-1.961E-05
-1.88,-1.8292E-05
-1.87,-1.7072E-05
-1.86,-1.5922E-05
-1.85,-1.4838E-05
-1.84,-1.3844E-05
-1.83,-1.291E-05
-1.82,-1.2002E-05
-1.81,-1.1216E-05
-1.8,-1.046E-05
-1.79,-9.853E-06
-1.78,-9.1687E-06
-1.77,-8.5681E-06
-1.76,-7.9607E-06
-1.75,-7.4212E-06
-1.74,-6.9068E-06
-1.73,-6.4289E-06
-1.72,-5.9871E-06
-1.71,-5.5644E-06
-1.7,-5.182E-06
-1.69,-4.819E-06
-1.68,-4.4811E-06
-1.67,-4.1675E-06
-1.66,-3.8739E-06
-1.65,-3.6004E-06
-1.64,-3.3482E-06
-1.63,-3.1119E-06
-1.62,-2.8929E-06
-1.61,-2.6872E-06
-1.6,-2.4987E-06
-1.59,-2.3182E-06
-1.58,-2.1524E-06
-1.57,-1.9996E-06
-1.56,-1.8538E-06
-1.55,-1.7212E-06
-1.54,-1.5986E-06
-1.53,-1.4831E-06
-1.52,-1.3736E-06
-1.51,-1.2738E-06
-1.5,-1.1811E-06
-1.49,-1.0932E-06
-1.48,-1.0108E-06
-1.47,-9.556E-07
-1.46,-8.824E-07
-1.45,-8.1458E-07
-1.44,-7.507E-07
-1.43,-6.9406E-07
-1.42,-6.3996E-07
-1.41,-5.9004E-07
-1.4,-5.4632E-07
-1.39,-5.0354E-07
-1.38,-4.6498E-07
-1.37,-4.3062E-07
-1.36,-3.9706E-07
-1.35,-3.6576E-07
-1.34,-3.3914E-07
-1.33,-3.1232E-07
-1.32,-2.8762E-07
-1.31,-2.6596E-07
-1.3,-2.4464E-07
-1.29,-2.2574E-07
-1.28,-2.0886E-07
-1.27,-1.9216E-07
-1.26,-1.7676E-07
-1.25,-1.632E-07
-1.24,-1.5038E-07
-1.23,-1.3822E-07
-1.22,-1.2698E-07
-1.21,-1.1778E-07
-1.2,-1.08E-07
-1.19,-1.031342E-07
-1.18,-9.54728E-08
-1.17,-8.88804E-08
-1.16,-8.21528E-08
-1.15,-7.63628E-08
-1.14,-7.03214E-08
-1.13,-6.56116E-08
-1.12,-6.0136E-08
-1.11,-5.59934E-08
-1.1,-5.14368E-08
-1.09,-4.79356E-08
-1.08,-4.38414E-08
-1.07,-4.08294E-08
-1.06,-3.7126E-08
-1.05,-3.48204E-08
-1.04,-3.15548E-08
-1.03,-2.94526E-08
-1.02,-2.67652E-08
-1.01,-2.50118E-08
-1,-2.2641E-08
-0.99,-2.1207E-08
-0.98,-1.91674E-08
-0.97,-1.79618E-08
-0.96,-1.61738E-08
-0.95,-1.50558E-08
-0.94,-1.36848E-08
-0.93,-1.2724E-08
-0.92,-1.15328E-08
-0.91,-1.06882E-08
-0.9,-1.00682E-08
-0.89,-9.46265E-09
-0.88,-9.23925E-09
-0.87,-8.64645E-09
-0.86,-8.06625E-09
-0.85,-7.64635E-09
-0.84,-7.04355E-09
-0.83,-6.70525E-09
-0.82,-6.10475E-09
-0.81,-5.82685E-09
-0.8,-5.25025E-09
-0.79,-5.05665E-09
-0.78,-4.49515E-09
-0.77,-4.36825E-09
-0.76,-3.82885E-09
-0.75,-3.76805E-09
-0.74,-3.23165E-09
-0.73,-3.24855E-09
-0.72,-2.71865E-09
-0.71,-2.80175E-09
-0.7,-2.27015E-09
-0.69,-2.41875E-09
-0.68,-1.89305E-09
-0.67,-2.08825E-09
-0.66,-1.56675E-09
-0.65,-1.81135E-09
-0.64,-1.27735E-09
-0.63,-1.58125E-09
-0.62,-1.09305E-09
-0.61,-1.32415E-09
-0.6,-1.23405E-09
-0.59,-1.20465E-09
-0.58,-1.08945E-09
-0.57,-1.11005E-09
-0.56,-5.68972E-10
-0.55,-9.41792E-10
-0.54,-4.70522E-10
-0.53,-7.71142E-10
-0.52,-4.06342E-10
-0.51,-6.21672E-10
-0.5,-3.62482E-10
-0.49,-4.90742E-10
-0.48,-3.55252E-10
-0.47,-3.46902E-10
-0.46,-3.60152E-10
-0.45,-3.63282E-10
-0.44,-2.38572E-10
-0.43,-4.43772E-10
-0.42,-4.2372E-11
-0.41,-4.25502E-10
-0.4,1.7428E-11
-0.39,-4.04992E-10
-0.38,8.2248E-11
-0.37,-3.95272E-10
-0.36,1.20588E-10
-0.35,-1.08272E-10
-0.34,-3.14892E-10
-0.33,-2.52062E-10
-0.32,1.0328E-11
-0.31,-2.54052E-10
-0.3,-2.78562E-10
-0.29,7.4218E-11
-0.28,-2.07662E-10
-0.27,-2.83882E-10
-0.26,1.22458E-10
-0.25,-1.66982E-10
-0.24,-2.89932E-10
-0.23,1.63768E-10
-0.22,-1.39322E-10
-0.21,-2.91952E-10
-0.2,1.96608E-10
-0.19,-1.10472E-10
-0.18,-2.03742E-10
-0.17,-2.81052E-10
-0.16,2.08938E-10
-0.15,-9.5402E-11
-0.14,-2.76162E-10
-0.13,2.31688E-10
-0.12,-6.2012E-11
-0.11,-2.45892E-10
-0.1,1.97558E-10
-0.09,-1.05492E-10
-0.08,-2.54002E-10
-0.07,-2.03122E-10
-0.06,1.70428E-10
-0.05,-1.19792E-10
-0.04,-2.24082E-10
-0.03,1.98958E-10
-0.02,-1.00272E-10
-0.01,-2.32532E-10
0,-4.2722E-11
0.01,2.7908E-11
0.02,-1.88872E-10
0.03,-2.18952E-10
0.04,7.8448E-11
0.05,-2.8702E-11
0.06,-2.06492E-10
0.07,9.3798E-11
0.08,4.0358E-11
0.09,-1.12592E-10
0.1,2.34708E-10
0.11,4.32578E-10
0.12,1.91188E-10
0.13,1.79018E-10
0.14,3.93448E-10
0.15,9.3185E-10
0.16,1.09665E-09
0.17,9.5915E-10
0.18,1.66335E-09
0.19,1.74625E-09
0.2,2.63605E-09
0.21,3.06695E-09
0.22,4.29205E-09
0.23,5.32725E-09
0.24,7.13265E-09
0.25,9.10995E-09
0.26,1.2049E-08
0.27,1.55502E-08
0.28,1.8821E-08
0.29,2.41718E-08
0.3,2.9993E-08
0.31,3.83854E-08
0.32,4.80336E-08
0.33,6.13078E-08
0.34,7.76862E-08
0.35,9.90796E-08
0.36,1.3238E-07
0.37,1.6308E-07
0.38,2.036E-07
0.39,2.5476E-07
0.4,3.1598E-07
0.41,3.9396E-07
0.42,4.995E-07
0.43,6.2434E-07
0.44,7.8118E-07
0.45,9.9504E-07
0.46,1.7305E-06
0.47,2.1283E-06
0.48,2.6182E-06
0.49,3.2885E-06
0.5,4.0688E-06
0.51,5.0497E-06
0.52,6.3401E-06
0.53,7.9204E-06
0.54,9.907E-06
0.55,1.6656E-05
0.56,2.0122E-05
0.57,2.46E-05
0.58,3.007E-05
0.59,3.686E-05
0.6,4.5232E-05
0.61,5.5784E-05
0.62,6.8528E-05
0.63,8.417E-05
0.64,0.000103198
0.65,0.0001623
0.66,0.00019192
0.67,0.00022788
0.68,0.0002706
0.69,0.00032138
0.7,0.00037974
0.71,0.00044644
0.72,0.00052256
0.73,0.00060926
0.74,0.00070422
0.75,0.0008065
0.76,0.0009282
0.77,0.0010485
0.78,0.0013308
0.79,0.0014606
0.8,0.0016088
0.81,0.0017574
0.82,0.0019142
0.83,0.0020898
0.84,0.0022592
0.85,0.0024352
0.86,0.0026316
0.87,0.0028182
0.88,0.0030098
0.89,0.0032218
0.9,0.0034218
0.91,0.0036264
0.92,0.0038508
0.93,0.0040624
0.94,0.0042768
0.95,0.0045126
0.96,0.0047334
0.97,0.0049568
0.98,0.005201
0.99,0.0054296
1,0.0056602
1.01,0.0059128
1.02,0.0061482
1.03,0.0063868
1.04,0.0066456
1.05,0.0068876
1.06,0.0071324
1.07,0.0073936
1.08,0.0076448
1.09,0.0078952
1.1,0.0081608
1.11,0.0084172
1.12,0.008673
1.13,0.0089446
1.14,0.0092066
1.15,0.0094676
1.16,0.0098074
1.17,0.0100766
1.18,0.0103434
1.19,0.0106138
1.2,0.0108906
1.21,0.0111648
1.22,0.0114394
1.23,0.01185
1.24,0.012116
1.25,0.012386
1.26,0.012664
1.27,0.01294
1.28,0.013214
1.29,0.013494
1.3,0.013778
1.31,0.01406
1.32,0.014346
1.33,0.01463
1.34,0.014914
1.35,0.015206
1.36,0.015492
1.37,0.015784
1.38,0.016076
1.39,0.016368
1.4,0.01666
1.41,0.016958
1.42,0.017254
1.43,0.017548
1.44,0.017852
1.45,0.018146
1.46,0.018452
1.47,0.018748
1.48,0.019038
1.49,0.019334
1.5,0.019646
1.51,0.019942
1.52,0.020236
1.53,0.020546
1.54,0.020842
1.55,0.021144
1.56,0.02146
1.57,0.02176
1.58,0.02206
1.59,0.022378
1.6,0.022682
1.61,0.022988
1.62,0.023306
1.63,0.02361
1.64,0.023918
1.65,0.024236
1.66,0.024542
1.67,0.024854
1.68,0.025162
1.69,0.025486
1.7,0.025792
1.71,0.026106
1.72,0.026432
1.73,0.026786
1.74,0.027102
1.75,0.027424
1.76,0.027742
1.77,0.028058
1.78,0.028378
1.79,0.028702
1.8,0.02902
1.81,0.029338
1.82,0.029662
1.83,0.029982
1.84,0.030302
1.85,0.030622
1.86,0.030948
1.87,0.031266
1.88,0.031586
1.89,0.031906
1.9,0.032234
1.91,0.032556
1.92,0.032876
1.93,0.033196
1.94,0.033522
1.95,0.033844
1.96,0.034166
1.97,0.03449
1.98,0.034804
1.99,0.035132
2,0.03545
