Item,Smu1.Time[1][1],Smu1.V[1][1],Smu1.I[1][1],Smu1.R[1][1],
1,0,7.91644197306596E-07,-3.65871333229961E-10,-2163.72294138995,
2,0.08309896,0.00999938696622849,6.81011691483491E-10,14683135.5339087,
3,0.16582642,0.0199997667223215,2.13501749612988E-09,9367495.46951015,
4,0.24997038,0.0299984198063612,2.89110246853852E-09,10376117.8072411,
5,0.33273406,0.0399979278445244,4.519590923735E-09,8849900.02844551,
6,0.4154701,0.0499962754547596,5.74095437855249E-09,8708704.53901178,
7,0.49820566,0.0599954463541508,8.00920751942158E-09,7490809.32272855,
8,0.58097468,0.0699978172779083,9.92849624736891E-09,7050193.25524326,
9,0.66371662,0.0799970552325249,1.2429379303569E-08,6436126.31642468,
10,0.74646464,0.0899955555796623,1.57445221304897E-08,5715991.55781193,
11,0.82921388,0.0999952927231789,1.9350462565626E-08,5167591.85389241,
12,0.91196652,0.10999421775341,2.41777620146877E-08,4549396.16357338,
13,0.99470474,0.119994834065437,2.99937816805596E-08,4000657.04763104,
14,1.07745874,0.129992872476578,3.69730166482896E-08,3515884.9415278,
15,1.16022748,0.139991447329521,4.52317365784438E-08,3094982.81337792,
16,1.24297432,0.149990692734718,5.54679218112142E-08,2704097.93331024,
17,1.3257311,0.159992158412933,6.83213912111569E-08,2341757.91178571,
18,1.4084769,0.169996231794357,8.35593780834643E-08,2034436.29779717,
19,1.4912327,0.179996207356453,1.02228831622142E-07,1760718.62018099,
20,1.57399572,0.189994648098946,1.2514395564267E-07,1518208.74706443,
21,1.6567239,0.19999460875988,1.53235347966074E-07,1305146.70025194,
22,1.7394885,0.209997221827507,1.87608080182144E-07,1119339.96458801,
23,1.82362268,0.219988659024239,2.29425197062483E-07,958868.780940072,
24,1.90637594,0.230006873607635,2.80955333664679E-07,818659.929347167,
25,1.9891321,0.239994719624519,3.43826513926615E-07,698011.089615221,
26,2.07189886,0.249975681304932,4.2053994775415E-07,594416.018359018,
27,2.15463592,0.25999590754509,5.144106012267E-07,505424.862794594,
28,2.23737848,0.269983738660812,6.29160695098108E-07,429117.299863611,
29,2.32014996,0.280002236366272,7.69501184549881E-07,363874.990692911,
30,2.40287474,0.289990782737732,9.40841175633977E-07,308225.012093379,
31,2.48560704,0.299970984458923,1.14986858079646E-06,260874.146375185,
32,2.56837406,0.309990793466568,1.40559893679892E-06,220540.002806585,
33,2.6511176,0.319976061582565,1.71786177816102E-06,186264.148635463,
34,2.73386158,0.330000728368759,2.10038206205354E-06,157114.619445054,
35,2.81661232,0.339987874031067,2.56543080467964E-06,132526.620250638,
36,2.89934304,0.350005835294724,3.13505233862088E-06,111642.740691434,
37,2.98209604,0.3599893450737,3.82849657398765E-06,94028.906155908,
38,3.06486566,0.369975030422211,4.67466907139169E-06,79144.6463422203,
39,3.14759224,0.379997223615646,5.70887596040848E-06,66562.5293404443,
40,3.23034222,0.389982879161835,6.96629740559729E-06,55981.3709429762,
41,3.31309008,0.400000929832459,8.50411197461654E-06,47036.178618814,
42,3.39582918,0.409984827041626,1.03701258922229E-05,39535.1832082479,
43,3.47856292,0.420005589723587,1.26491322589573E-05,33204.3005895656,
44,3.56131524,0.429990351200104,1.54122644744348E-05,27899.2325828144,
45,3.64406488,0.439978271722794,1.8768043446471E-05,23442.9482741593,
46,3.7268157,0.449994295835495,2.28536227950826E-05,19690.2827998159,
47,3.80955704,0.459985166788101,2.77926956187002E-05,16550.5776445305,
48,3.8923285,0.470001995563507,3.37867604685016E-05,13910.8333869912,
49,3.97507664,0.4799864590168,4.10060529247858E-05,11705.2587308806,
50,4.05780868,0.490007847547531,4.97340370202437E-05,9852.56530347775,
51,4.14057528,0.499989897012711,6.01900610490702E-05,8306.85146846905,
52,4.22331734,0.509977519512177,7.27356164134108E-05,7011.38650717681,
53,4.30605832,0.519994080066681,8.77667625900358E-05,5924.72668150706,
54,4.38880782,0.529978513717651,0.000105609607999213,5018.27933800872,
55,4.47153996,0.539995551109314,0.000126795493997633,4258.79133464627,
56,4.55430142,0.54998117685318,0.000151716754771769,3625.05233967421,
57,4.63705788,0.559968650341034,0.000180921473656781,3095.09224650319,
58,4.71979376,0.569987297058105,0.00021506316261366,2650.32509580468,
59,4.80252248,0.579968869686127,0.000254409736953676,2279.66459393703,
60,4.88528228,0.589984357357025,0.000299768784316257,1968.13140068177,
61,4.9680068,0.599974989891052,0.000351365597452968,1707.55188965636,
62,5.05074762,0.609991490840912,0.000409853644669056,1488.31539935057,
63,5.1335176,0.619976043701172,0.000475389766506851,1304.14259494212,
64,5.21628126,0.629956722259521,0.000548171636182815,1149.19612887346,
65,5.2990191,0.639970242977142,0.000628700770903379,1017.92501710722,
66,5.38177306,0.64995676279068,0.000716629961971194,906.962864074062,
67,5.46451758,0.659973442554474,0.000812406186014414,812.368805058267,
68,5.54724826,0.669957399368286,0.000915407610591501,731.867849487711,
69,5.62999558,0.679971814155579,0.00102596974465996,662.760103496954,
70,6.019019,0.689979314804077,0.00119947455823421,575.234639257224,
71,6.1018022,0.699963390827179,0.00131829490419477,530.961159449163,
72,6.18456774,0.709986329078674,0.00144583685323596,491.055631546283,
73,6.26731276,0.719970881938934,0.00157949642743915,455.823051848384,
74,6.35004242,0.729991793632507,0.00171969330403954,424.489524915731,
75,6.43279958,0.739973485469818,0.00186495610978454,396.777962541599,
