t,I,V
0.0,-4.821845145386311e-10,9.21656464925036e-07
0.08311052,5.06540143163647e-10,0.0099994502961635
0.16583776,1.7860650736167802e-09,0.0199997294694185
0.24999724,2.54215137829306e-09,0.029998229816556
0.33276506,3.6471963227313604e-09,0.0399985387921333
0.41548342,5.4501709811916e-09,0.0499973930418491
0.49821014,6.9623329324031105e-09,0.0599962957203388
0.58098914,9.23058429691537e-09,0.0699985548853874
0.66373938,1.15569998015985e-08,0.0799980759620667
0.74649354,1.44650202926755e-08,0.0899986326694489
0.8292416,1.77801595668825e-08,0.0999962091445923
0.91198048,2.22585008202714e-08,0.109994798898697
0.99472848,2.72021338787454e-08,0.119995579123497
1.07750798,3.38905685737245e-08,0.129993468523026
1.1602597,4.16840357786441e-08,0.139992028474808
1.2429895,5.11060243013617e-08,0.149993285536766
1.32575626,6.3319710363885e-08,0.159992724657059
1.40848832,7.78597382122825e-08,0.169997289776802
1.49122302,9.54241485828788e-08,0.17999666929245
1.57397194,1.17176128355823e-07,0.18999508023262
1.65672434,1.43697207022342e-07,0.199995130300522
1.73946818,1.76383366579103e-07,0.209999069571495
1.8236053,2.16281378584426e-07,0.219989493489265
1.9063467,2.65077801486768e-07,0.230007618665695
1.98909736,3.2504115665688e-07,0.23999559879303
2.07187246,3.98439340187906e-07,0.249976217746735
2.15462874,4.88354942262959e-07,0.259996116161346
2.2373608,5.98452686517703e-07,0.269985973834991
2.32010908,7.33966260213492e-07,0.280003637075424
2.4028334,8.99606789062091e-07,0.289990842342377
2.48556752,1.10235362171807e-06,0.299971878528595
2.56834148,1.35151242375287e-06,0.309991896152496
2.6510792,1.65557389664173e-06,0.319976955652237
2.73381808,2.02983619601582e-06,0.33000385761261
2.81657282,2.48697620008898e-06,0.339989513158798
2.8993321,3.04781610793725e-06,0.350007236003876
2.98209166,3.73294392375101e-06,0.359990268945694
3.06486992,4.57184705737745e-06,0.36997589468956
3.14760638,5.60297121410258e-06,0.379997789859772
3.23034582,6.86080238665454e-06,0.3899846971035
3.31310486,8.40449774841545e-06,0.400001794099808
3.39587028,1.02831318145036e-05,0.409985393285751
3.47860498,1.25897659017937e-05,0.420005530118942
3.56134132,1.54037861648249e-05,0.42999055981636
3.64410604,1.88324520422611e-05,0.439978748559952
3.72684494,2.3022786990623e-05,0.449995368719101
3.80959308,2.81218508462189e-05,0.459985733032227
3.89234614,3.43352476193104e-05,0.470001548528671
3.97509108,4.18572344642598e-05,0.479987353086472
4.05782752,5.1003742555622e-05,0.490007817745209
4.14059748,6.2014274590183e-05,0.499991148710251
4.2233298,7.52853447920643e-05,0.509978413581848
4.30607404,9.12654359126464e-05,0.51999443769455
4.38882552,0.0001103209360735,0.52997887134552
4.47153964,0.000133055524202,0.539994239807129
4.55428924,0.0001599228125996,0.549981355667114
4.6370523,0.0001915910397656,0.559968709945679
4.71978772,0.0002286961680511,0.569987058639526
4.80252032,0.000271682976745,0.579968333244324
4.88526882,0.0003213227610103,0.589983463287354
4.96797942,0.0003780063707381,0.599974513053894
5.0507153,0.0004423853533808,0.609990894794464
5.13347346,0.0005145194591023,0.619976162910461
5.21621104,0.0005947821191512,0.629955172538757
5.29895186,0.000683709688019,0.639968633651733
5.38171294,0.000780654780101,0.649953842163086
5.46443748,0.0008863538387231,0.659971117973328
5.54716914,0.0009998707100749,0.669954717159271
5.9362072,0.0011955817462876,0.679998338222504
6.01901226,0.0013175513595342,0.689979195594788
6.10175336,0.001449535950087,0.699963748455048
6.1845015,0.0015896873082965,0.709986329078674
6.26724022,0.0017361987847834,0.71997058391571
6.34999156,0.0018891434883698,0.729992032051086
6.43276926,0.0020477240905165,0.739974081516266
6.51550232,0.002212222199887,0.749994397163391
6.59824874,0.0023815380409359,0.759979963302612
6.68100956,0.0025554466992616,0.769968450069427
6.76374182,0.0027344888076186,0.779986441135406
6.84646084,0.0029171290807426,0.789966583251953
6.92922968,0.0031040818430483,0.799986660480499
7.01198556,0.0032942160032689,0.809968888759613
7.094729,0.0034881772007793,0.819959759712219
7.1774855,0.0036858427338302,0.829975128173828
7.26021878,0.0038860267959535,0.839957535266876
7.3429452,0.0040898830629885,0.84997695684433
7.4257007,0.0042961887083947,0.859960317611694
7.50845202,0.0045057889074087,0.869982957839966
7.59118726,0.0047178757376968,0.879970133304596
7.67395086,0.004932242911309,0.889953374862671
7.75667286,0.0051494934596121,0.899973094463348
7.83940638,0.0053686378523707,0.909953117370605
7.92215434,0.0055911568924784,0.919971287250519
8.00489394,0.0058152754791081,0.929960548877716
8.08763814,0.006042146589607,0.939976096153259
8.17039352,0.0062707015313208,0.949962437152863
8.25312714,0.0065017431043088,0.959945380687714
8.33587152,0.0067353951744735,0.969961106777191
8.41859784,0.00697050569579,0.979949533939362
8.50133308,0.0072080972604453,0.989967405796051
8.58406676,0.0074477293528616,0.999960124492645
8.66678136,0.0072871246375143,0.989966332912445
8.7495131,0.0071157780475914,0.97995126247406
8.832251,0.0069406721740961,0.969961166381836
8.91498698,0.006762683391571,0.959945321083069
8.99774986,0.0065840939059853,0.949962079524994
9.08050426,0.0064039868302643,0.939976096153259
9.16323428,0.0062226243317127,0.929959118366241
9.24597738,0.0060415472835302,0.91997218132019
9.32872338,0.0058600944466888,0.909952044487
9.41145274,0.0056795268319547,0.899972438812256
9.49420278,0.0054987776093184,0.88995236158371
9.57694468,0.0053198579698801,0.879969298839569
9.65968208,0.0051411977037787,0.869981288909912
9.7424148,0.0049629369750618,0.859961032867432
9.82514852,0.0047865263186395,0.849975645542145
9.9078949,0.0046109366230666,0.839955985546112
9.99064252,0.0044376458972692,0.82997328042984
10.07337444,0.0042646117508411,0.819958329200745
