Time (s)	repeat #	Applied voltage (V)	Current (A)	Absolute current (A)	Resistance (Ohm)
283.914	1	-3	-4.92115E-5	4.92115E-5	60961.29872
284.41	1	0	6.26168E-10	6.26168E-10	0
284.812	1	-1	-7.52966E-9	7.52966E-9	1.32808E8
285.118	1	0	4.42768E-10	4.42768E-10	0
285.426	1	-3	-4.92374E-5	4.92374E-5	60929.30596
285.92	1	0	6.39719E-10	6.39719E-10	0
286.324	1	-1	-7.16855E-9	7.16855E-9	1.39498E8
286.629	1	0	4.46332E-10	4.46332E-10	0
286.937	1	-3	-4.83621E-5	4.83621E-5	62032.08423
287.432	1	0	6.41335E-10	6.41335E-10	0
287.836	1	-1	-6.99957E-9	6.99957E-9	1.42866E8
288.142	1	0	4.57772E-10	4.57772E-10	0
288.448	1	-3	-4.87296E-5	4.87296E-5	61564.1859
288.944	1	0	6.50912E-10	6.50912E-10	0
289.348	1	-1	-6.76048E-9	6.76048E-9	1.47918E8
289.654	1	0	4.49067E-10	4.49067E-10	0
289.961	1	1	0.00279	0.00279	358.83541
290.543	1	0	-1.53237E-10	1.53237E-10	0
290.947	1	-1	-1.01458E-8	1.01458E-8	9.85628E7
291.254	1	0	2.78185E-10	2.78185E-10	0
291.561	1	1	0.00279	0.00279	358.57807
292.143	1	0	-2.15038E-10	2.15038E-10	0
292.546	1	-1	-1.21593E-8	1.21593E-8	8.22416E7
292.853	1	0	2.34252E-10	2.34252E-10	0
293.16	1	1	0.00279	0.00279	358.4372
293.742	1	0	-2.26892E-10	2.26892E-10	0
294.153	1	-1	-1.39297E-8	1.39297E-8	7.17891E7
294.456	1	0	2.35661E-10	2.35661E-10	0
294.764	1	1	0.00279	0.00279	358.3374
295.345	1	0	-2.41773E-10	2.41773E-10	0
295.756	1	-1	-1.51403E-8	1.51403E-8	6.60488E7
296.062	1	0	2.20077E-10	2.20077E-10	0
296.369	1	1	0.00279	0.00279	358.26397
296.959	1	0	-2.4227E-10	2.4227E-10	0
297.363	1	-1	-1.56739E-8	1.56739E-8	6.38001E7
297.669	1	0	2.04991E-10	2.04991E-10	0
297.976	1	1	0.00279	0.00279	358.20275
298.558	1	0	-2.55533E-10	2.55533E-10	0
298.962	1	-1	-1.63805E-8	1.63805E-8	6.10482E7
299.268	1	0	2.09592E-10	2.09592E-10	0
299.576	1	1	0.00279	0.00279	358.15541
300.165	1	0	-2.44632E-10	2.44632E-10	0
300.575	1	-1	-1.75617E-8	1.75617E-8	5.69423E7
300.883	1	0	2.03955E-10	2.03955E-10	0
301.193	1	1	0.00279	0.00279	358.11976
301.782	1	0	-2.603E-10	2.603E-10	0
302.186	1	-1	-1.8489E-8	1.8489E-8	5.40863E7
302.492	1	0	1.9637E-10	1.9637E-10	0
302.8	1	1	0.00279	0.00279	358.08616
303.389	1	0	-2.53461E-10	2.53461E-10	0
303.801	1	-1	-1.87446E-8	1.87446E-8	5.33487E7
304.107	1	0	2.07312E-10	2.07312E-10	0
304.414	1	1	0.00279	0.00279	358.06231
304.996	1	0	-2.59844E-10	2.59844E-10	0
305.4	1	-1	-2.00452E-8	2.00452E-8	4.98874E7
305.713	1	0	1.92847E-10	1.92847E-10	0
306.018	1	1	0.00281	0.00281	355.68544
426.5	1	1	0.00281	0.00281	355.68657
426.799	1	0	-4.46697E-10	4.46697E-10	0
427.207	1	-4	-1.13043E-4	1.13043E-4	35384.73379
427.609	1	0	4.92172E-10	4.92172E-10	0
428.012	1	-1	-5.56285E-9	5.56285E-9	1.79764E8
428.318	1	0	2.89044E-10	2.89044E-10	0
428.626	1	-4	-1.04086E-4	1.04086E-4	38429.83385
429.028	1	0	6.38188E-10	6.38188E-10	0
429.432	1	-1	-4.74991E-9	4.74991E-9	2.1053E8
429.738	1	0	3.77449E-10	3.77449E-10	0
430.045	1	-4	-9.8525E-5	9.8525E-5	40598.82866
430.533	1	0	7.68452E-10	7.68452E-10	0
430.94	1	-1	-4.20398E-9	4.20398E-9	2.3787E8
431.245	1	0	4.35266E-10	4.35266E-10	0
431.553	1	-4	-9.56408E-5	9.56408E-5	41823.14185
432.041	1	0	8.04842E-10	8.04842E-10	0
432.447	1	-1	-3.96772E-9	3.96772E-9	2.52034E8
432.753	1	0	4.67677E-10	4.67677E-10	0
433.061	1	-4	-9.383E-5	9.383E-5	42630.28882
433.548	1	0	8.28756E-10	8.28756E-10	0
433.956	1	-1	-3.77648E-9	3.77648E-9	2.64797E8
434.262	1	0	4.86453E-10	4.86453E-10	0
434.569	1	-4	-9.15958E-5	9.15958E-5	43670.11508
435.056	1	0	8.22167E-10	8.22167E-10	0
435.464	1	-1	-3.69113E-9	3.69113E-9	2.7092E8
435.771	1	0	4.97892E-10	4.97892E-10	0
436.078	1	-4	-9.07994E-5	9.07994E-5	44053.16909
436.573	1	0	8.5292E-10	8.5292E-10	0
436.978	1	-1	-3.57871E-9	3.57871E-9	2.7943E8
437.284	1	0	4.99923E-10	4.99923E-10	0
437.592	1	-4	-8.91356E-5	8.91356E-5	44875.43309
438.086	1	0	8.67718E-10	8.67718E-10	0
438.491	1	-1	-3.48107E-9	3.48107E-9	2.87268E8
438.797	1	0	5.06347E-10	5.06347E-10	0
439.104	1	-4	-8.81097E-5	8.81097E-5	45397.95793
439.599	1	0	8.57356E-10	8.57356E-10	0
440.004	1	-1	-3.42872E-9	3.42872E-9	2.91654E8
440.309	1	0	5.09621E-10	5.09621E-10	0
440.618	1	-4	-8.73644E-5	8.73644E-5	45785.21879
441.113	1	0	8.62578E-10	8.62578E-10	0
441.517	1	-1	-3.37575E-9	3.37575E-9	2.96231E8
441.822	1	0	5.11444E-10	5.11444E-10	0
442.131	1	1	0.00278	0.00278	359.24289
442.718	1	0	-1.22274E-10	1.22274E-10	0
443.123	1	-1	-4.64521E-9	4.64521E-9	2.15276E8
443.429	1	0	2.90743E-10	2.90743E-10	0
443.736	1	1	0.00279	0.00279	358.90263
444.324	1	0	-1.89919E-10	1.89919E-10	0
444.735	1	-1	-5.28261E-9	5.28261E-9	1.893E8
445.049	1	0	2.53731E-10	2.53731E-10	0
445.353	1	1	0.00279	0.00279	358.7148
445.936	1	0	-2.15328E-10	2.15328E-10	0
446.349	1	-1	-5.78162E-9	5.78162E-9	1.72962E8
446.653	1	0	2.3906E-10	2.3906E-10	0
446.961	1	1	0.00279	0.00279	358.57974
447.549	1	0	-2.37213E-10	2.37213E-10	0
447.96	1	-1	-6.30796E-9	6.30796E-9	1.5853E8
448.267	1	0	2.25134E-10	2.25134E-10	0
448.574	1	1	0.00279	0.00279	358.4832
449.156	1	0	-2.42643E-10	2.42643E-10	0
449.561	1	-1	-6.72098E-9	6.72098E-9	1.48788E8
449.867	1	0	2.07022E-10	2.07022E-10	0
450.174	1	1	0.00279	0.00279	358.40059
450.762	1	0	-2.41192E-10	2.41192E-10	0
451.173	1	-1	-7.12251E-9	7.12251E-9	1.404E8
451.48	1	0	2.09799E-10	2.09799E-10	0
451.787	1	1	0.00279	0.00279	358.34023
452.369	1	0	-2.54497E-10	2.54497E-10	0
452.773	1	-1	-7.48238E-9	7.48238E-9	1.33647E8
453.079	1	0	2.0756E-10	2.0756E-10	0
453.387	1	1	0.00279	0.00279	358.28771
453.968	1	0	-2.58186E-10	2.58186E-10	0
454.373	1	-1	-8.01493E-9	8.01493E-9	1.24767E8
454.679	1	0	2.06317E-10	2.06317E-10	0
454.988	1	1	0.00279	0.00279	358.2383
455.577	1	0	-2.54207E-10	2.54207E-10	0
455.981	1	-1	-8.46525E-9	8.46525E-9	1.1813E8
456.288	1	0	1.94049E-10	1.94049E-10	0
456.595	1	1	0.00279	0.00279	358.19942
457.184	1	0	-2.54746E-10	2.54746E-10	0
457.588	1	-1	-8.9224E-9	8.9224E-9	1.12077E8
457.895	1	0	1.94588E-10	1.94588E-10	0
458.202	1	1	0.00281	0.00281	355.62953
578.685	1	1	0.00281	0.00281	355.62763
578.984	1	0	-4.41018E-10	4.41018E-10	0
579.393	1	-2	-1.20679E-5	1.20679E-5	165728.36789
579.895	1	0	2.04493E-10	2.04493E-10	0
580.299	1	-1	-3.76574E-8	3.76574E-8	2.65552E7
580.605	1	0	2.42831E-10	2.42831E-10	0
580.919	1	-2	-1.04615E-5	1.04615E-5	191176.80796
581.411	1	0	3.2618E-10	3.2618E-10	0
581.822	1	-1	-2.83876E-8	2.83876E-8	3.52267E7
582.132	1	0	3.05166E-10	3.05166E-10	0
582.443	1	-2	-9.25009E-6	9.25009E-6	216214.08914
583.025	1	0	4.00327E-10	4.00327E-10	0
583.432	1	-1	-2.26803E-8	2.26803E-8	4.40912E7
583.738	1	0	3.51877E-10	3.51877E-10	0
584.045	1	-2	-8.30877E-6	8.30877E-6	240709.66022
584.638	1	0	4.2159E-10	4.2159E-10	0
585.043	1	-1	-1.96496E-8	1.96496E-8	5.08917E7
585.349	1	0	3.69904E-10	3.69904E-10	0
585.656	1	-2	-8.12474E-6	8.12474E-6	246161.69303
586.156	1	0	4.14461E-10	4.14461E-10	0
586.56	1	-1	-1.82874E-8	1.82874E-8	5.46823E7
586.866	1	0	3.67211E-10	3.67211E-10	0
587.173	1	-2	-7.74694E-6	7.74694E-6	258166.38359
587.672	1	0	4.10481E-10	4.10481E-10	0
588.076	1	-1	-1.77478E-8	1.77478E-8	5.63449E7
588.382	1	0	3.82299E-10	3.82299E-10	0
588.689	1	-2	-7.64085E-6	7.64085E-6	261750.84618
589.195	1	0	4.28759E-10	4.28759E-10	0
589.598	1	-1	-1.65582E-8	1.65582E-8	6.03931E7
589.904	1	0	3.82422E-10	3.82422E-10	0
590.211	1	-2	-7.34623E-6	7.34623E-6	272248.59782
590.71	1	0	4.25444E-10	4.25444E-10	0
591.114	1	-1	-1.59759E-8	1.59759E-8	6.25944E7
591.42	1	0	3.88266E-10	3.88266E-10	0
591.727	1	-2	-7.25297E-6	7.25297E-6	275749.0689
592.225	1	0	4.4314E-10	4.4314E-10	0
592.629	1	-1	-1.56766E-8	1.56766E-8	6.37895E7
592.935	1	0	3.90131E-10	3.90131E-10	0
593.243	1	-2	-7.00951E-6	7.00951E-6	285326.48626
593.741	1	0	4.31578E-10	4.31578E-10	0
