Time	Voltage Current
723.123	-1.3	-2.726179E-6
723.427	-1.28	-2.438568E-6
723.731	-1.26	-2.185521E-6
724.035	-1.24	-1.994367E-6
724.339	-1.22	-1.756568E-6
724.643	-1.2	-1.561762E-6
724.947	-1.18	-1.377302E-6
725.251	-1.16	-1.22083E-6
725.555	-1.14	-1.070487E-6
725.86	-1.12	-9.533636E-7
726.273	-1.1	-8.390999E-7
726.577	-1.08	-7.620264E-7
726.883	-1.06	-6.744135E-7
727.19	-1.04	-5.85027E-7
727.495	-1.02	-5.094319E-7
727.801	-1	-4.356675E-7
728.107	-0.98	-3.694241E-7
728.414	-0.96	-3.285883E-7
728.72	-0.94	-2.91038E-7
729.026	-0.92	-2.399462E-7
729.341	-0.9	-2.073587E-7
729.644	-0.88	-1.767802E-7
729.952	-0.86	-1.498151E-7
730.258	-0.84	-1.277318E-7
730.572	-0.82	-1.091981E-7
730.875	-0.8	-9.258255E-8
731.181	-0.78	-7.729797E-8
731.489	-0.76	-6.869986E-8
731.803	-0.74	-5.714094E-8
732.106	-0.72	-4.804596E-8
732.42	-0.7	-4.197333E-8
732.723	-0.68	-3.496632E-8
733.029	-0.66	-3.017741E-8
733.336	-0.64	-2.564589E-8
733.642	-0.62	-2.16506E-8
733.948	-0.6	-1.81763E-8
734.254	-0.58	-1.514759E-8
734.559	-0.56	-1.267158E-8
734.866	-0.54	-1.061964E-8
735.172	-0.52	-9.046124E-9
735.478	-0.5	-7.634066E-9
735.784	-0.48	-6.281563E-9
736.098	-0.46	-5.251048E-9
736.401	-0.44	-4.586694E-9
736.708	-0.42	-3.766604E-9
737.022	-0.4	-3.230248E-9
737.326	-0.38	-2.795393E-9
737.632	-0.36	-2.345037E-9
737.939	-0.34	-2.036774E-9
738.252	-0.32	-1.774517E-9
738.555	-0.3	-1.590273E-9
738.869	-0.28	-1.38464E-9
739.173	-0.26	-1.176767E-9
739.478	-0.24	-1.080933E-9
739.784	-0.22	-9.965005E-10
740.091	-0.2	-8.831738E-10
740.399	-0.18	-8.396115E-10
740.705	-0.16	-7.177894E-10
741.02	-0.14	-6.623712E-10
741.324	-0.12	-6.165272E-10
741.63	-0.1	-5.938116E-10
741.937	-0.08	-5.097517E-10
742.242	-0.06	-4.72115E-10
742.556	-0.04	-3.82168E-10
742.859	-0.02	-2.624605E-10
743.167	1.50574E-15	-2.768794E-11
743.473	0.02	4.590662E-10
743.778	0.04	1.374015E-9
744.093	0.06	3.128301E-9
744.395	0.08	6.860715E-9
744.702	0.1	1.448719E-8
745.01	0.12	3.007494E-8
745.315	0.14	6.196284E-8
745.629	0.16	1.272314E-7
745.932	0.18	2.605884E-7
746.239	0.2	5.327057E-7
746.545	0.22	1.086674E-6
747.045	0.24	2.208462E-6
747.356	0.26	4.467078E-6
747.665	0.28	8.975134E-6
747.967	0.3	1.784737E-5
748.46	0.32	3.472375E-5
748.761	0.34	6.533731E-5
749.065	0.36	1.173224E-4
749.556	0.38	1.97536E-4
749.865	0.4	3.10204E-4
750.166	0.42	4.556255E-4
750.47	0.44	6.303012E-4
750.775	0.46	8.301467E-4
751.078	0.48	0.001051523
751.56	0.5	0.001290151
751.864	0.52	0.001543757
752.167	0.54	0.0018093
752.479	0.56	0.002086058
752.788	0.58	0.002371348
753.09	0.6	0.002665856
753.394	0.62	0.002966767
753.699	0.64	0.003273575
754.003	0.66	0.003585663
754.306	0.68	0.00390372
754.611	0.7	0.004226622
754.914	0.72	0.004552259
755.218	0.74	0.004883427
755.523	0.76	0.005216619
755.827	0.78	0.005555042
756.132	0.8	0.005896583
756.436	0.82	0.006243063
756.739	0.84	0.006590911
757.044	0.86	0.006940634
757.348	0.88	0.007293063
757.652	0.9	0.007650013
757.955	0.92	0.008008022
758.26	0.94	0.008367619
758.563	0.96	0.008731616
758.868	0.98	0.009095621
759.173	1	0.009549203
